Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,37.53,38.59,37.38,38.34,24.66,341800.0
2000-01-03,38.34,38.75,37.28,37.47,24.09,1842000.0
2000-01-04,37.47,38.12,36.69,36.84,23.69,1048800.0
2000-01-05,36.84,37.0,35.97,35.97,23.13,905200.0
2000-01-06,35.69,35.69,34.75,35.5,22.83,2139600.0
2000-01-07,35.44,36.38,35.16,36.38,23.39,1135200.0
2000-01-10,36.38,37.22,36.25,36.81,23.67,894000.0
2000-01-11,36.5,36.69,35.91,36.53,23.49,773400.0
2000-01-12,36.5,36.59,35.66,35.84,23.05,796000.0
2000-01-13,35.62,35.75,34.34,34.44,22.14,1656800.0
2000-01-14,34.44,35.0,34.19,34.44,22.14,1049200.0
2000-01-18,33.56,33.75,33.38,33.56,21.58,799600.0
2000-01-19,31.5,32.75,31.44,31.62,20.34,3711200.0
2000-01-20,31.62,31.69,28.5,28.94,18.61,6278000.0
2000-01-21,28.97,30.75,28.94,30.19,19.41,3481600.0
2000-01-24,30.94,31.12,30.16,30.44,19.57,2375600.0
2000-01-25,30.06,30.75,29.88,30.12,19.37,1815400.0
2000-01-26,29.97,30.41,29.97,30.12,19.37,900200.0
2000-01-27,30.38,31.09,29.88,30.38,19.53,1263200.0
2000-01-28,29.81,30.09,29.44,29.5,18.97,2002800.0
2000-01-31,29.62,30.03,29.62,29.84,19.19,931400.0
2000-02-01,29.78,30.16,29.69,30.0,19.29,1558000.0
2000-02-02,29.88,30.88,29.88,30.84,19.83,1807800.0
2000-02-03,30.84,31.28,30.5,30.84,19.83,1429200.0
2000-02-04,30.97,31.06,30.78,30.88,19.85,931400.0
2000-02-07,31.0,31.0,30.19,30.56,19.65,968800.0
2000-02-08,30.56,31.22,30.47,30.75,19.77,1422400.0
2000-02-09,30.62,30.62,30.16,30.56,19.65,1264000.0
2000-02-10,30.31,30.88,30.28,30.47,19.59,1219200.0
2000-02-11,30.47,30.53,29.84,29.94,19.25,972000.0
2000-02-14,29.91,30.06,29.72,29.84,19.19,596800.0
2000-02-15,30.31,30.44,29.25,30.19,19.41,767800.0
2000-02-16,30.12,30.19,29.25,29.81,19.17,600400.0
2000-02-17,29.69,30.06,29.0,29.66,19.07,596000.0
