Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,9.05,9.05,8.97,9.0,7.97,131600
2000-01-03,9.03,9.47,9.03,9.31,8.24,535200
2000-01-04,9.27,9.27,9.05,9.12,8.08,290800
2000-01-05,9.16,9.5,9.16,9.5,8.41,532000
2000-01-06,9.47,10.23,9.45,10.2,9.03,1078400
2000-01-07,10.25,11.25,10.25,11.05,9.78,1452400
2000-01-10,11.16,11.75,11.16,11.58,10.25,1233600
2000-01-11,11.55,11.55,11.12,11.12,9.85,1100400
2000-01-12,11.14,11.17,11.0,11.08,9.81,360400
2000-01-13,11.06,11.5,11.06,11.5,10.18,556800
2000-01-14,11.5,11.67,11.34,11.45,10.14,858800
2000-01-18,11.52,11.62,11.41,11.44,10.13,230400
2000-01-19,11.41,11.42,10.88,11.14,9.86,782800
2000-01-20,12.0,12.14,11.88,12.0,10.62,1220800
2000-01-21,12.02,12.28,11.97,12.0,10.62,1683600
2000-01-24,11.97,12.05,11.94,12.0,10.62,1110400
2000-01-25,12.02,12.25,11.84,11.86,10.5,998400
2000-01-26,11.86,11.98,11.64,11.64,10.31,775200
2000-01-27,11.64,11.88,11.5,11.5,10.18,813200
2000-01-28,11.5,11.64,11.19,11.25,9.96,526800
2000-01-31,11.28,11.39,11.06,11.17,9.89,377600
2000-02-01,11.2,11.3,10.94,11.27,9.97,574800
2000-02-02,11.27,11.59,11.22,11.5,10.18,538000
2000-02-03,11.5,12.09,11.5,12.02,10.64,812000
2000-02-04,11.98,12.36,11.98,12.12,10.73,808800
2000-02-07,12.12,12.12,11.88,11.94,10.57,238000
2000-02-08,11.94,12.23,11.77,11.78,10.43,426400
2000-02-09,11.81,11.98,11.47,11.5,10.18,371600
2000-02-10,11.44,11.44,10.83,11.39,10.08,766800
2000-02-11,11.36,11.52,11.25,11.31,10.01,342400
2000-02-14,11.22,11.25,11.02,11.05,9.78,300800
2000-02-15,11.0,11.75,10.91,11.56,10.24,1029200
2000-02-16,11.55,11.55,10.78,10.78,9.54,565600
2000-02-17,10.84,10.84,10.55,10.62,9.41,774000
2000-02-18,10.62,10.62,10.14,10.22,9.05,958400
2000-02-22,10.22,10.22,9.81,10.08,8.92,1105600
2000-02-23,10.08,10.08,9.81,9.97,8.83,770000
2000-02-24,10.0,10.0,9.55,9.72,8.6,694400
2000-02-25,9.75,9.88,9.62,9.88,8.74,568400
2000-02-28,9.84,9.86,9.58,9.58,8.48,874400
2000-02-29,9.58,9.92,9.56,9.72,8.6,568400
2000-03-01,9.73,10.06,9.73,10.02,8.87,452800
2000-03-02,10.08,10.48,10.08,10.44,9.24,520800
2000-03-03,10.47,10.47,10.3,10.34,9.16,584800
2000-03-06,10.31,10.34,10.05,10.08,8.92,392000
2000-03-07,10.11,10.11,9.78,9.78,8.66,443200
2000-03-08,9.81,9.81,9.59,9.78,8.66,510800
2000-03-09,9.84,10.06,9.73,10.03,8.88,545200
2000-03-10,10.0,10.0,9.84,9.88,8.74,250800
2000-03-13,9.91,9.91,9.78,9.86,8.73,413600
2000-03-14,9.88,10.06,9.88,9.92,8.78,345600
2000-03-15,9.94,9.97,9.83,9.95,8.81,475200
2000-03-16,10.02,10.5,10.02,10.44,9.24,1466400
2000-03-17,10.44,10.58,10.23,10.42,9.23,433200
2000-03-20,10.42,10.53,10.34,10.47,9.27,408400
2000-03-21,10.59,10.73,10.55,10.69,9.46,198000
2000-03-22,10.75,11.16,10.75,11.05,9.78,788000
2000-03-23,11.03,11.03,10.94,10.97,9.71,220800
2000-03-24,10.94,11.14,10.92,11.12,9.85,442000
2000-03-27,11.09,11.09,10.81,10.92,9.67,489600
2000-03-28,10.89,10.91,10.78,10.8,9.56,423600
2000-03-29,10.81,10.98,10.78,10.84,9.6,548000
2000-03-30,10.88,11.33,10.88,11.33,10.03,429200
2000-03-31,11.3,12.53,11.3,12.25,10.84,1278000
2000-04-03,12.22,12.25,12.12,12.25,10.84,462000
2000-04-04,12.16,12.59,12.16,12.38,10.96,1647200
2000-04-05,12.31,12.55,12.31,12.52,11.08,906400
2000-04-06,12.64,12.69,12.59,12.69,11.23,758400
2000-04-07,12.69,12.69,12.56,12.67,11.22,389600
2000-04-10,12.64,12.98,12.62,12.92,11.44,765200
2000-04-11,12.88,13.02,12.81,13.0,11.51,532000
2000-04-12,12.91,13.53,12.89,13.48,11.94,1599600
2000-04-13,13.56,13.62,13.23,13.28,11.76,610000
2000-04-14,13.25,13.25,12.62,12.8,11.33,821600
2000-04-17,12.78,13.05,12.53,12.59,11.15,1036000
2000-04-18,12.59,13.0,12.25,13.0,11.51,1206800
2000-04-19,13.03,13.14,12.94,13.11,11.61,616800
2000-04-20,13.23,13.56,13.23,13.47,11.92,944400
2000-04-24,13.44,13.45,13.22,13.42,11.88,637600
2000-04-25,13.41,14.08,13.41,13.98,12.38,975600
2000-04-26,14.44,14.44,13.61,13.72,12.14,972400
2000-04-27,13.73,13.73,13.14,13.3,11.77,643600
2000-04-28,13.33,13.69,13.19,13.69,12.12,499600
2000-05-01,13.66,13.86,13.52,13.75,12.17,914800
2000-05-02,13.69,13.94,13.67,13.8,12.21,502800
2000-05-03,13.86,13.86,13.19,13.2,11.69,374400
2000-05-04,13.17,13.84,13.16,13.72,12.14,921200
2000-05-05,13.66,13.94,13.59,13.62,12.06,287600
2000-05-08,13.69,13.69,13.42,13.66,12.09,190400
2000-05-09,13.69,13.91,13.69,13.88,12.28,243600
2000-05-10,13.84,13.86,13.11,13.19,11.67,456000
