Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,6.62,6.68,6.62,6.64,5.65,1234400
2000-01-03,6.64,6.76,6.62,6.72,5.72,3431200
2000-01-04,6.67,6.78,6.62,6.63,5.65,5997600
2000-01-05,6.64,6.77,6.58,6.62,5.63,10562400
2000-01-06,6.62,6.94,6.61,6.86,5.84,15300000
2000-01-07,7.19,7.69,7.11,7.66,6.53,16160800
2000-01-10,7.73,7.73,7.48,7.53,6.41,9336000
2000-01-11,7.38,7.66,7.34,7.55,6.43,9988000
2000-01-12,7.48,7.62,7.44,7.48,6.37,6378400
2000-01-13,7.52,7.74,7.48,7.71,6.57,6981600
2000-01-14,7.75,7.85,7.69,7.7,6.56,9292800
2000-01-18,7.53,7.62,7.28,7.38,6.28,5514400
2000-01-19,7.31,7.55,7.31,7.44,6.33,7730400
2000-01-20,7.44,7.62,7.31,7.62,6.49,8457600
2000-01-21,7.62,7.62,7.22,7.3,6.21,12880800
2000-01-24,7.17,7.26,6.82,6.9,5.87,9503200
2000-01-25,6.94,7.02,6.82,6.9,5.87,8416000
2000-01-26,6.81,7.04,6.81,6.88,5.86,8797600
2000-01-27,6.88,6.91,6.73,6.77,5.77,9053600
2000-01-28,6.53,6.83,6.53,6.58,5.6,12754400
2000-01-31,6.58,6.91,6.57,6.62,5.64,4790400
2000-02-01,6.69,6.93,6.64,6.8,5.79,3984000
2000-02-02,6.86,7.06,6.86,6.98,5.95,6660000
2000-02-03,6.92,7.0,6.88,6.92,5.89,13720800
2000-02-04,6.95,7.1,6.95,7.09,6.04,7199200
2000-02-07,7.0,7.31,6.98,7.27,6.19,11616800
2000-02-08,7.0,7.14,6.97,7.0,5.96,8325600
2000-02-09,7.06,7.09,6.72,6.74,5.74,7526400
2000-02-10,7.23,7.55,7.13,7.23,6.16,20888000
2000-02-11,7.14,7.39,6.98,7.0,5.96,18896000
2000-02-14,7.08,7.19,7.05,7.11,6.05,7276000
2000-02-15,7.3,7.68,7.28,7.42,6.32,16885600
2000-02-16,7.46,7.81,7.41,7.66,6.53,16412800
2000-02-17,7.75,8.09,7.73,7.86,6.69,12419200
2000-02-18,7.77,7.81,7.16,7.23,6.16,15170400
2000-02-22,7.25,7.45,7.21,7.35,6.26,5828800
2000-02-23,7.28,7.31,7.11,7.16,6.09,9806400
2000-02-24,7.08,7.09,6.49,6.58,5.6,13012000
2000-02-25,6.58,6.61,6.32,6.41,5.45,9658400
2000-02-28,6.38,6.55,6.31,6.43,5.47,8533600
2000-02-29,6.4,6.49,6.38,6.39,5.44,7711200
