Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,32.0,32.5,31.53,32.5,20.21,897600
2000-01-03,32.47,32.5,31.0,31.25,19.43,2140400
2000-01-04,30.56,31.22,29.5,29.97,18.64,3367000
2000-01-05,29.97,30.12,29.25,29.38,18.27,3904600
2000-01-06,29.25,30.91,28.44,30.78,19.14,6148600
2000-01-07,30.78,32.34,30.31,32.0,19.9,3995000
2000-01-10,32.0,32.62,31.84,32.31,20.09,2460200
2000-01-11,32.19,32.22,31.47,31.56,19.63,2210000
2000-01-12,31.59,32.75,31.56,32.28,20.07,2532200
2000-01-13,32.09,32.94,32.0,32.62,20.29,2106400
2000-01-14,32.62,32.62,31.5,31.91,19.84,3040800
2000-01-18,31.5,31.72,30.09,31.38,19.51,4874600
2000-01-19,31.19,31.75,30.22,30.34,18.87,3621200
2000-01-20,30.53,30.66,29.03,29.66,18.44,3840200
2000-01-21,29.75,30.5,29.03,30.31,18.85,4532400
2000-01-24,31.25,31.88,29.75,30.0,18.66,5444400
2000-01-25,29.69,29.81,28.0,28.44,17.68,5178200
2000-01-26,28.44,29.0,27.69,28.5,17.72,4411200
2000-01-27,28.5,28.69,27.0,27.59,17.16,3873800
2000-01-28,27.47,27.56,25.75,26.12,16.25,7165400
2000-01-31,26.31,26.88,26.16,26.47,16.46,4094800
2000-02-01,26.75,27.0,26.28,26.84,16.69,5269600
2000-02-02,26.94,27.25,26.59,26.88,16.71,3064200
2000-02-03,27.12,27.19,25.75,26.47,16.46,4442000
2000-02-04,26.5,26.75,25.0,25.69,15.97,6752800
2000-02-07,25.59,26.0,25.16,25.59,15.92,7392400
2000-02-08,25.5,25.81,24.97,25.5,15.86,4819600
2000-02-09,25.94,26.28,25.25,25.31,15.74,5518600
2000-02-10,25.38,25.84,24.88,25.06,15.59,3483600
2000-02-11,25.06,25.53,23.78,24.19,15.04,3988000
2000-02-14,24.41,25.75,24.41,25.16,15.64,4672400
2000-02-15,25.31,26.44,24.81,26.22,16.3,6492000
2000-02-16,26.34,26.94,26.0,26.06,16.33,3866200
2000-02-17,27.0,27.31,26.0,27.06,16.96,3986200
2000-02-18,27.12,27.25,25.94,26.19,16.41,2937000
2000-02-22,26.81,27.22,25.66,26.75,16.76,2887800
2000-02-23,26.75,27.19,26.38,26.38,16.53,3639000
2000-02-24,26.44,26.56,25.09,25.44,15.94,4850000
2000-02-25,25.25,25.56,24.94,25.03,15.69,4349600
2000-02-28,25.38,25.88,25.0,25.53,16.0,7077600
2000-02-29,26.0,26.0,25.25,25.47,15.96,3241600
2000-03-01,25.47,25.56,24.38,25.41,15.92,3662800
2000-03-02,25.38,25.69,24.81,25.41,15.92,3311600
2000-03-03,25.28,26.47,25.0,25.91,16.23,3196000
2000-03-06,26.16,26.34,24.62,25.0,15.67,3306200
2000-03-07,25.06,25.78,24.38,25.25,15.82,3321600
2000-03-08,25.25,25.25,24.5,24.62,15.43,3341400
2000-03-09,24.25,24.5,23.25,24.03,15.06,4442200
2000-03-10,23.91,24.75,23.47,24.44,15.31,4031600
2000-03-13,24.25,24.72,24.09,24.5,15.35,2977800
2000-03-14,24.78,25.31,24.78,24.97,15.65,4819000
2000-03-15,25.03,27.75,24.69,26.94,16.88,6193600
2000-03-16,27.44,28.97,27.12,28.5,17.86,6666400
2000-03-17,28.0,29.19,27.09,27.31,17.12,5387400
2000-03-20,27.31,28.91,26.97,28.06,17.59,3508200
2000-03-21,27.88,28.91,27.62,28.38,17.78,3442000
2000-03-22,28.75,29.12,27.69,27.91,17.49,5261000
2000-03-23,27.94,29.19,27.5,29.19,18.29,3499600
2000-03-24,28.75,29.5,28.25,28.53,17.88,3298200
2000-03-27,29.44,29.44,28.5,28.72,18.0,2979600
2000-03-28,28.5,29.12,28.5,28.91,18.11,2408800
2000-03-29,28.69,29.12,28.16,28.81,18.06,2301200
2000-03-30,28.75,31.0,28.75,30.69,19.23,4159400
2000-03-31,30.0,32.25,29.88,31.59,19.8,5577400
2000-04-03,31.59,31.94,29.88,30.94,19.39,4282400
2000-04-04,31.5,31.94,29.78,31.59,19.8,3104000
2000-04-05,31.12,31.38,30.25,30.5,19.11,2719200
