Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,17.53,17.53,17.24,17.24,9.99,914200
2010-01-04,17.42,17.42,17.2,17.27,10.01,2168600
2010-01-05,17.3,17.7,17.05,17.6,10.2,4370800
2010-01-06,17.61,17.62,17.39,17.53,10.16,3084500
2010-01-07,17.46,17.91,17.46,17.87,10.36,2807900
2010-01-08,17.85,17.9,17.7,17.78,10.3,3122700
2010-01-11,17.87,17.93,17.5,17.72,10.27,2387000
2010-01-12,17.67,17.82,17.39,17.54,10.16,2748000
2010-01-13,17.55,17.7,17.46,17.69,10.25,2497000
2010-01-14,17.72,17.79,17.52,17.66,10.24,3488900
2010-01-15,17.67,17.7,17.41,17.57,10.18,2980000
2010-01-19,17.55,17.71,17.55,17.69,10.25,2085300
2010-01-20,17.59,17.66,17.46,17.63,10.21,2556900
2010-01-21,17.66,17.73,17.51,17.52,10.15,4767100
2010-01-22,17.54,17.61,17.04,17.05,9.88,3930700
2010-01-25,17.17,17.18,16.92,16.99,9.84,2996500
2010-01-26,17.0,17.1,16.9,17.03,9.87,2285800
2010-01-27,17.04,17.27,17.0,17.23,9.98,2494900
2010-01-28,17.3,17.33,17.06,17.07,9.89,3187300
2010-01-29,17.1,17.3,16.92,16.96,9.83,1897200
2010-02-01,17.02,17.19,16.95,17.17,9.95,1516100
2010-02-02,17.21,17.48,17.15,17.46,10.12,2646100
2010-02-03,17.28,17.31,17.02,17.12,9.92,2995700
2010-02-04,16.99,17.03,16.74,16.84,9.76,4931900
2010-02-05,16.77,16.89,16.54,16.84,9.76,5502900
2010-02-08,16.8,17.09,16.76,16.81,9.74,2291800
2010-02-09,16.9,17.12,16.89,17.07,9.89,2485900
2010-02-10,17.03,17.22,16.97,17.05,9.88,3974000
2010-02-11,17.46,17.59,17.28,17.5,10.14,8111600
2010-02-12,17.3,17.51,17.3,17.41,10.09,4839700
2010-02-16,17.5,17.78,17.46,17.77,10.3,3445100
2010-02-17,17.83,18.04,17.82,18.02,10.44,4624400
2010-02-18,18.0,18.06,17.84,17.99,10.42,3242100
2010-02-19,18.0,18.07,17.87,18.04,10.45,3091700
2010-02-22,18.08,18.14,18.02,18.06,10.46,1912000
2010-02-23,17.98,18.02,17.74,17.84,10.34,3153300
