Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,4.5,4.54,4.44,4.54,2.63,284000
2000-01-03,4.54,4.6,4.27,4.37,2.53,966600
2000-01-04,4.36,4.36,4.23,4.33,2.5,1176200
2000-01-05,4.37,4.53,4.34,4.48,2.59,866000
2000-01-06,4.48,4.68,4.4,4.63,2.68,1265100
2000-01-07,4.63,4.64,4.51,4.57,2.64,564500
2000-01-10,4.6,4.6,4.4,4.56,2.64,1178000
2000-01-11,4.48,4.5,4.41,4.48,2.59,913700
2000-01-12,4.48,4.6,4.46,4.51,2.61,1227900
2000-01-13,4.54,4.67,4.51,4.56,2.64,665500
2000-01-14,4.6,4.66,4.6,4.6,2.66,844500
2000-01-18,4.63,4.88,4.6,4.88,2.83,936000
2000-01-19,4.86,4.93,4.84,4.88,2.83,599500
2000-01-20,4.91,5.08,4.88,5.07,2.93,762200
2000-01-21,5.07,5.23,5.06,5.2,3.01,3036900
2000-01-24,5.2,5.2,4.86,4.87,2.82,1287800
2000-01-25,4.91,4.96,4.81,4.81,2.78,1304000
2000-01-26,4.91,5.28,4.91,5.14,2.97,2006300
2000-01-27,5.11,5.13,4.97,5.06,2.93,1784900
2000-01-28,5.03,5.11,5.0,5.06,2.93,1664100
2000-01-31,5.08,5.23,5.03,5.2,3.01,2541100
2000-02-01,5.18,5.24,5.14,5.21,3.02,1484300
2000-02-02,5.21,5.37,5.21,5.34,3.09,2695100
2000-02-03,5.33,5.4,5.26,5.31,3.07,1912300
2000-02-04,5.36,5.41,5.23,5.26,3.04,1221700
2000-02-07,5.26,5.46,5.26,5.31,3.07,1118900
2000-02-08,5.31,5.33,5.18,5.26,3.04,3096000
2000-02-09,5.28,5.28,5.14,5.14,2.97,1497400
2000-02-10,5.14,5.36,5.11,5.28,3.06,2923600
2000-02-11,5.27,5.31,5.23,5.31,3.07,1458000
2000-02-14,5.28,5.28,5.16,5.17,3.04,2506500
2000-02-15,5.17,5.37,5.11,5.37,3.15,2353400
2000-02-16,5.36,5.71,5.33,5.56,3.26,6115000
2000-02-17,5.6,5.61,5.46,5.5,3.23,2190600
2000-02-18,5.56,5.6,5.43,5.46,3.2,778400
2000-02-22,5.51,5.61,5.46,5.54,3.26,2392300
2000-02-23,5.54,5.54,5.41,5.48,3.22,1008200
2000-02-24,5.48,5.54,5.43,5.53,3.25,1937600
2000-02-25,5.6,5.64,5.47,5.48,3.22,595100
2000-02-28,5.48,5.63,5.46,5.63,3.31,1050200
2000-02-29,5.61,5.83,5.61,5.83,3.42,2338900
2000-03-01,5.94,6.16,5.94,6.03,3.54,5074800
2000-03-02,6.03,6.27,6.0,6.17,3.62,2558200
2000-03-03,6.28,6.31,6.0,6.04,3.55,4070900
