Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,4.28,4.92,4.28,4.78,1.7,802800
2000-01-03,4.85,4.85,4.57,4.57,1.62,15000
2000-01-04,4.57,4.57,4.5,4.57,1.62,34900
2000-01-05,4.5,4.71,4.5,4.5,1.6,26600
2000-01-06,4.5,4.71,4.5,4.57,1.62,24100
2000-01-07,4.5,4.57,4.43,4.5,1.6,74000
2000-01-10,4.5,4.71,4.5,4.57,1.62,47400
2000-01-11,4.43,4.5,4.43,4.5,1.6,45800
2000-01-12,4.43,4.5,4.43,4.43,1.57,13700
2000-01-13,4.43,4.64,4.43,4.5,1.6,27100
2000-01-14,4.5,4.57,4.5,4.57,1.62,31700
2000-01-18,4.57,4.64,4.5,4.64,1.65,18000
2000-01-19,4.57,4.64,4.5,4.64,1.65,24800
2000-01-20,4.64,4.64,4.57,4.57,1.62,28100
2000-01-21,4.57,4.57,4.5,4.5,1.6,35600
2000-01-24,4.5,4.57,4.21,4.21,1.5,91500
2000-01-25,4.28,4.28,3.93,4.0,1.42,313200
2000-01-26,3.93,4.14,3.85,4.0,1.42,64900
2000-01-27,4.0,4.14,3.85,4.0,1.42,94800
2000-01-28,3.93,4.0,3.85,3.93,1.4,110500
2000-01-31,4.0,4.28,3.85,4.14,1.47,198400
2000-02-01,4.14,4.28,4.07,4.21,1.5,80100
2000-02-02,4.14,4.35,4.14,4.28,1.52,34200
2000-02-03,4.21,4.43,4.14,4.21,1.5,153600
2000-02-04,4.14,4.14,4.0,4.0,1.42,110100
2000-02-07,4.28,4.35,4.07,4.21,1.5,35800
2000-02-08,4.14,4.35,3.85,4.0,1.42,55000
2000-02-09,4.0,4.07,4.0,4.0,1.42,52900
2000-02-10,4.0,4.0,3.93,3.93,1.4,109300
2000-02-11,3.85,3.93,3.64,3.71,1.32,109500
2000-02-14,3.71,3.71,3.57,3.64,1.29,57700
2000-02-15,3.57,3.64,3.57,3.64,1.29,59600
2000-02-16,3.57,3.78,3.57,3.78,1.34,55500
2000-02-17,3.71,3.93,3.71,3.78,1.34,36300
2000-02-18,3.85,3.85,3.78,3.78,1.34,10900
2000-02-22,3.78,3.85,3.78,3.78,1.34,21900
2000-02-23,3.78,3.78,3.78,3.78,1.34,8600
2000-02-24,3.78,3.85,3.71,3.78,1.34,25700
2000-02-25,3.71,4.0,3.71,3.85,1.37,88700
2000-02-28,3.85,3.93,3.85,3.93,1.4,12300
2000-02-29,3.93,4.07,3.85,3.85,1.37,546400
2000-03-01,3.85,4.0,3.78,3.78,1.34,191500
2000-03-02,3.78,3.85,3.78,3.85,1.37,84300
2000-03-03,3.93,4.21,3.93,4.07,1.45,53300
2000-03-06,3.93,4.14,3.78,4.07,1.45,37000
2000-03-07,4.0,4.14,3.85,4.0,1.42,265600
2000-03-08,4.0,4.0,3.85,3.85,1.37,18700
2000-03-09,3.85,3.85,3.57,3.71,1.32,123500
2000-03-10,3.78,3.78,3.57,3.64,1.29,62900
2000-03-13,3.64,3.85,3.64,3.85,1.37,43300
2000-03-14,3.78,3.78,3.57,3.57,1.27,64100
2000-03-15,3.57,3.57,3.07,3.21,1.14,181500
2000-03-16,3.14,3.64,3.14,3.57,1.27,130600
2000-03-17,3.43,3.5,3.28,3.35,1.19,70100
2000-03-20,3.35,3.35,3.28,3.35,1.19,32600
2000-03-21,3.43,4.0,3.43,3.93,1.4,274300
2000-03-22,4.07,4.5,4.07,4.28,1.52,142700
2000-03-23,4.28,4.43,3.57,3.71,1.32,198800
2000-03-24,3.71,4.0,3.71,3.71,1.32,50500
2000-03-27,3.71,3.78,3.64,3.64,1.29,43000
2000-03-28,3.64,3.78,3.57,3.57,1.27,68400
2000-03-29,3.71,3.71,3.57,3.64,1.29,18400
2000-03-30,3.57,3.78,3.43,3.78,1.34,91900
2000-03-31,3.85,3.85,3.57,3.78,1.34,61400
2000-04-03,3.78,3.78,3.71,3.78,1.34,12300
2000-04-04,3.78,3.93,3.78,3.93,1.4,72200
2000-04-05,3.85,4.0,3.85,3.85,1.37,21500
2000-04-06,3.71,4.07,3.71,3.93,1.4,24200
2000-04-07,3.93,4.07,3.78,4.07,1.45,43700
2000-04-10,3.93,4.28,3.93,4.21,1.5,45300
2000-04-11,4.28,4.35,4.28,4.28,1.52,13400
2000-04-12,4.28,4.5,4.28,4.43,1.57,20300
2000-04-13,4.35,4.5,4.35,4.35,1.55,44600
