Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,28.62,29.31,28.5,29.25,22.05,585000
2000-01-03,28.5,28.69,27.75,28.56,21.53,2095900
2000-01-04,27.81,28.38,27.12,27.5,20.73,1709100
2000-01-05,27.75,27.94,27.31,27.81,20.96,2167800
2000-01-06,27.69,27.88,26.88,27.0,20.35,2595400
2000-01-07,27.06,27.75,26.38,27.69,20.87,3629900
2000-01-10,27.56,28.88,27.25,28.5,21.48,3296100
2000-01-11,28.88,30.0,28.62,29.62,22.33,3499800
2000-01-12,30.0,30.38,29.69,30.25,22.8,2062800
2000-01-13,30.0,30.62,29.62,30.19,22.75,2092100
2000-01-14,29.62,29.88,29.25,29.44,22.19,2048700
2000-01-18,29.0,29.5,28.69,29.25,22.05,1563000
2000-01-19,29.5,30.38,29.31,30.19,22.75,1985000
2000-01-20,30.25,30.81,29.81,30.19,22.75,2603900
2000-01-21,30.94,30.94,29.75,29.94,22.56,2091200
2000-01-24,30.12,30.25,28.75,29.0,21.86,1712600
2000-01-25,29.19,29.38,28.19,28.44,21.43,1878800
2000-01-26,27.5,29.31,27.44,29.25,22.05,1614400
2000-01-27,29.5,29.62,28.19,29.12,21.95,1420800
2000-01-28,28.25,29.25,28.06,28.81,21.72,1694200
2000-01-31,28.75,28.75,27.62,27.94,21.06,2400900
2000-02-01,27.69,29.0,27.06,28.81,21.72,1820000
2000-02-02,28.44,29.38,28.19,28.94,21.81,1361200
2000-02-03,28.25,29.12,28.25,28.88,21.76,1603300
2000-02-04,29.12,29.5,29.0,29.19,22.0,1313000
2000-02-07,28.62,29.0,28.44,28.94,21.81,1358300
2000-02-08,29.25,30.12,28.81,30.12,22.7,2262300
2000-02-09,30.0,30.25,29.62,29.94,22.56,1424300
2000-02-10,29.94,30.62,29.88,30.62,23.08,1878600
2000-02-11,30.38,30.44,29.56,29.62,22.33,1228000
2000-02-14,29.5,29.81,28.94,29.81,22.47,966100
2000-02-15,29.62,29.75,28.25,28.5,21.48,1606600
2000-02-16,28.19,28.31,27.12,27.5,20.75,1423500
2000-02-17,27.25,27.62,26.38,27.38,20.66,1777700
2000-02-18,27.0,27.0,25.94,26.19,19.76,2071400
