Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,3.88,4.19,3.81,4.19,3.39,4214300
2000-01-03,4.25,4.25,3.94,3.94,3.18,2461900
2000-01-04,3.94,5.0,3.88,4.69,3.79,7660300
2000-01-05,4.75,4.75,4.12,4.38,3.54,3944600
2000-01-06,4.5,4.69,4.31,4.56,3.69,2468400
2000-01-07,4.62,5.62,4.62,5.62,4.55,9783000
2000-01-10,5.5,5.56,5.0,5.0,4.04,4961300
2000-01-11,4.88,5.25,4.5,5.0,4.04,4393600
2000-01-12,4.94,5.0,4.0,4.56,3.69,3791800
2000-01-13,4.75,4.88,4.25,4.31,3.49,2919000
2000-01-14,4.38,4.75,4.31,4.5,3.64,2952200
2000-01-18,4.88,5.25,4.56,5.12,4.15,4523500
2000-01-19,5.06,6.69,5.0,6.69,5.41,7651500
2000-01-20,6.38,6.38,5.31,5.56,4.5,8872700
2000-01-21,5.5,5.56,5.0,5.12,4.15,3447300
2000-01-24,5.31,5.38,4.75,4.75,3.84,3333300
2000-01-25,4.88,5.5,4.75,5.5,4.45,3379800
2000-01-26,5.25,5.75,4.94,5.75,4.65,2750500
2000-01-27,5.12,5.38,4.62,4.62,3.74,3692800
2000-01-28,4.75,5.12,4.69,5.0,4.04,2153600
2000-01-31,4.94,4.94,4.62,4.75,3.84,1273400
2000-02-01,4.75,4.81,4.56,4.69,3.79,1669000
2000-02-02,4.62,4.75,4.56,4.75,3.84,1297000
2000-02-03,4.69,5.19,4.62,5.06,4.09,3049900
2000-02-04,5.19,5.25,4.88,5.06,4.09,2031000
2000-02-07,5.06,5.5,5.0,5.25,4.25,2992100
2000-02-08,5.25,5.56,5.0,5.12,4.15,3046000
2000-02-09,5.12,5.19,4.88,5.0,4.04,1744700
2000-02-10,5.0,5.0,4.75,4.81,3.89,2456600
2000-02-11,4.81,4.94,4.25,4.94,3.99,2678600
2000-02-14,4.69,4.75,4.62,4.69,3.79,1473100
2000-02-15,4.62,4.69,4.5,4.5,3.64,1696700
2000-02-16,4.62,4.62,4.5,4.5,3.64,1352600
2000-02-17,4.56,4.69,4.5,4.5,3.64,1742400
2000-02-18,4.56,4.56,4.31,4.31,3.49,1762300
2000-02-22,4.31,4.5,4.25,4.25,3.44,1633300
2000-02-23,4.31,4.31,4.12,4.31,3.49,1791000
2000-02-24,4.19,4.38,4.19,4.25,3.44,1769100
2000-02-25,4.12,4.25,3.94,3.94,3.18,2750700
2000-02-28,4.0,4.12,3.94,3.94,3.18,1907300
2000-02-29,4.06,4.75,4.06,4.5,3.64,3057800
2000-03-01,4.5,4.69,4.31,4.69,3.79,2455600
2000-03-02,4.56,4.75,4.5,4.75,3.84,2013300
2000-03-03,4.88,4.88,4.38,4.5,3.64,1960600
2000-03-06,4.62,5.12,4.5,4.81,3.89,4475000
2000-03-07,4.75,4.88,4.44,4.56,3.69,2089500
2000-03-08,4.56,4.69,4.44,4.56,3.69,1306300
2000-03-09,4.56,6.0,4.5,6.0,4.85,8568400
2000-03-10,5.62,5.75,5.19,5.19,4.2,4687500
2000-03-13,5.5,7.25,5.38,7.25,5.86,18814600
2000-03-14,7.25,7.75,6.5,6.5,5.26,10510000
2000-03-15,6.94,6.94,6.38,6.5,5.26,4792900
2000-03-16,7.44,7.69,7.0,7.62,6.17,8804600
2000-03-17,7.5,7.94,6.0,7.5,6.07,3706000
2000-03-20,7.5,7.56,6.75,6.94,5.61,2666400
2000-03-21,6.81,7.12,6.56,7.12,5.76,2091000
2000-03-22,7.25,8.5,7.12,8.0,6.47,6757900
2000-03-23,8.0,8.81,8.0,8.75,7.08,6106000
2000-03-24,8.25,8.81,8.25,8.62,6.98,3399800
2000-03-27,8.62,8.69,8.12,8.25,6.67,1644400
2000-03-28,8.12,8.19,7.56,7.69,6.22,2174100
2000-03-29,7.69,7.75,7.0,7.75,6.27,2756300
2000-03-30,7.44,7.62,6.62,6.88,5.56,3406700
2000-03-31,7.06,7.5,6.5,7.44,6.02,4411600
2000-04-03,7.44,7.5,6.94,7.12,5.76,1868800
2000-04-04,7.06,7.25,5.81,6.44,5.21,3779900
2000-04-05,6.94,7.88,6.5,7.69,6.22,5536500
2000-04-06,7.81,7.81,7.06,7.75,6.27,3408200
2000-04-07,7.88,7.88,7.5,7.56,6.12,1469100
2000-04-10,7.5,7.62,7.0,7.06,5.71,1543400
2000-04-11,7.0,7.0,6.62,6.69,5.41,1620900
2000-04-12,6.69,6.81,6.25,6.25,5.06,1718600
2000-04-13,6.5,6.94,6.31,6.75,5.46,2214200
2000-04-14,6.56,6.62,5.81,6.0,4.85,2838000
2000-04-17,5.5,6.0,5.5,5.62,4.55,2171100
2000-04-18,5.69,6.31,5.69,6.19,5.0,1591500
2000-04-19,6.25,7.0,6.12,7.0,5.66,1288400
2000-04-20,6.38,6.44,6.19,6.19,5.0,1139700
2000-04-24,6.0,6.19,5.81,6.06,4.9,1413700
2000-04-25,6.31,7.25,6.25,7.0,5.66,3555500
2000-04-26,7.12,7.12,6.75,6.81,5.51,1548700
2000-04-27,6.69,7.75,6.62,7.75,6.27,1934500
2000-04-28,7.44,7.5,6.75,6.88,5.56,3017000
2000-05-01,6.94,7.19,6.81,7.19,5.81,1402300
2000-05-02,6.94,7.0,6.62,6.69,5.41,1155500
2000-05-03,6.62,6.75,6.44,6.69,5.41,1407400
2000-05-04,6.69,6.75,6.5,6.56,5.31,611400
2000-05-05,6.5,6.69,6.5,6.56,5.31,481700
2000-05-08,6.44,6.62,6.44,6.5,5.26,709300
2000-05-09,6.5,6.56,5.88,5.88,4.75,1446500
2000-05-10,5.88,6.88,5.38,6.88,5.56,1406600
2000-05-11,5.94,6.12,5.81,5.88,4.75,598500
2000-05-12,6.0,6.06,5.62,5.75,4.65,1080000
2000-05-15,5.62,5.94,5.56,5.94,4.8,1213900
2000-05-16,5.88,6.12,5.44,5.62,4.55,1297900
2000-05-17,5.5,5.56,5.16,5.19,4.2,2086800
2000-05-18,5.31,5.38,5.12,5.25,4.25,1271700
2000-05-19,5.12,5.44,5.06,5.19,4.2,710400
2000-05-22,5.19,5.19,4.56,5.0,4.04,1550800
2000-05-23,5.0,5.06,4.62,5.0,4.04,1358200
2000-05-24,5.0,5.06,4.56,4.69,3.79,1173800
2000-05-25,4.81,4.88,4.31,4.31,3.49,996000
2000-05-26,4.44,4.62,4.31,4.62,3.74,940500
2000-05-30,4.75,4.88,4.56,4.75,3.84,964100
2000-05-31,4.69,4.81,4.69,4.69,3.79,605800
2000-06-01,4.62,4.69,4.25,4.31,3.49,1900800
2000-06-02,4.44,4.75,4.44,4.5,3.64,2041500
2000-06-05,4.56,4.69,4.5,4.56,3.69,1513400
2000-06-06,4.56,4.69,4.31,4.5,3.64,1682400
2000-06-07,4.44,4.5,4.19,4.38,3.54,1771600
2000-06-08,4.44,4.44,4.25,4.31,3.49,959100
2000-06-09,4.38,4.5,4.25,4.31,3.49,1279600
2000-06-12,4.31,4.62,4.25,4.31,3.49,1486300
2000-06-13,4.44,4.44,4.25,4.31,3.49,888500
2000-06-14,4.38,4.44,4.25,4.25,3.44,1303700
2000-06-15,4.25,4.31,4.06,4.06,3.29,1185400
2000-06-16,4.19,4.25,3.94,4.12,3.34,2057500
2000-06-19,4.25,4.88,4.25,4.75,3.84,3493700
2000-06-20,4.81,5.25,4.75,4.88,3.94,3179000
2000-06-21,4.81,5.38,4.75,5.19,4.2,2273700
2000-06-22,5.19,5.38,5.0,5.06,4.09,1351800
2000-06-23,5.0,5.19,4.75,4.75,3.84,783300
2000-06-26,5.0,5.06,4.69,4.81,3.89,855400
2000-06-27,4.75,5.06,4.75,4.94,3.99,1024000
2000-06-28,4.94,4.94,4.75,4.81,3.89,472200
2000-06-29,4.81,4.81,4.62,4.75,3.84,500400
2000-06-30,4.75,5.0,4.62,5.0,4.04,906800
2000-07-03,5.0,5.0,4.81,4.94,3.99,219700
2000-07-05,4.94,4.94,4.56,4.69,3.79,606800
2000-07-06,4.69,4.75,4.5,4.56,3.69,492000
2000-07-07,4.56,4.69,4.38,4.5,3.64,691100
2000-07-10,4.56,4.62,4.38,4.38,3.54,423900
2000-07-11,4.69,5.19,4.56,4.88,3.94,2006900
2000-07-12,5.0,5.69,4.94,5.38,4.35,3238900
2000-07-13,5.5,5.75,5.31,5.62,4.55,1831600
2000-07-14,5.69,5.69,5.12,5.25,4.25,1334600
2000-07-17,5.19,5.25,4.88,5.06,4.09,1867700
2000-07-18,5.0,5.06,4.88,5.0,4.04,785600
2000-07-19,4.88,4.94,4.81,4.81,3.89,484300
2000-07-20,4.75,5.19,4.69,4.69,3.79,3141400
2000-07-21,4.69,4.81,4.56,4.75,3.84,1427700
2000-07-24,4.94,5.19,4.62,4.69,3.79,1102100
2000-07-25,4.69,4.75,4.38,4.5,3.64,1483800
2000-07-26,4.44,4.44,4.0,4.31,3.49,2655800
2000-07-27,4.19,4.25,4.0,4.0,3.24,1323200
2000-07-28,4.0,4.12,3.56,3.94,3.18,3199200
2000-07-31,4.12,4.12,3.75,4.12,3.34,1122500
2000-08-01,4.12,4.12,3.88,4.06,3.29,1016200
2000-08-02,3.94,4.0,3.81,4.0,3.24,907700
2000-08-03,3.75,3.81,3.62,3.75,3.03,1512100
2000-08-04,3.75,3.94,3.75,3.81,3.08,1090300
2000-08-07,3.81,4.12,3.81,3.94,3.18,1092100
2000-08-08,3.88,4.0,3.69,3.75,3.03,1383000
2000-08-09,3.81,3.81,3.56,3.56,2.88,1156300
2000-08-10,3.56,3.75,3.56,3.62,2.93,625800
2000-08-11,3.69,3.75,3.56,3.69,2.98,717300
2000-08-14,3.69,3.81,3.69,3.75,3.03,525500
2000-08-15,3.81,4.31,3.75,4.12,3.34,1922500
2000-08-16,4.0,4.31,4.0,4.31,3.49,878000
2000-08-17,4.25,4.44,4.25,4.38,3.54,2397200
2000-08-18,4.38,5.75,4.38,5.62,4.55,7048800
2000-08-21,5.5,5.62,5.19,5.44,4.4,3138400
2000-08-22,5.25,5.38,5.25,5.25,4.25,1449100
2000-08-23,5.12,5.19,4.69,4.94,3.99,1279000
2000-08-24,4.94,5.62,4.88,5.5,4.45,3001400
2000-08-25,5.38,5.56,5.31,5.44,4.4,1003600
2000-08-28,5.12,6.12,5.12,6.06,4.9,3990900
2000-08-29,5.94,6.44,5.81,6.0,4.85,3430000
2000-08-30,6.0,6.12,5.75,5.81,4.7,2685100
2000-08-31,5.88,6.25,5.75,5.88,4.75,4304400
2000-09-01,5.81,5.94,5.56,5.75,4.65,1609900
2000-09-05,5.81,6.25,5.62,6.0,4.85,2011300
2000-09-06,5.94,6.0,5.62,5.88,4.75,1258800
2000-09-07,5.88,6.19,5.75,5.81,4.7,2136600
2000-09-08,5.81,6.0,5.62,5.81,4.7,1842700
2000-09-11,5.75,5.94,5.62,5.69,4.6,2053300
2000-09-12,5.75,5.75,5.25,5.31,4.3,1226300
2000-09-13,5.0,5.44,4.94,5.06,4.09,2987900
2000-09-14,5.06,5.5,5.06,5.25,4.25,1475400
2000-09-15,5.25,5.62,5.06,5.38,4.35,2319500
2000-09-18,5.38,5.81,5.31,5.5,4.45,2586900
2000-09-19,5.44,5.62,5.38,5.56,4.5,1381400
2000-09-20,5.62,6.0,5.56,6.0,4.85,3815000
2000-09-21,5.88,6.31,5.69,6.0,4.85,7698300
2000-09-22,5.56,5.94,5.5,5.62,4.55,2057900
2000-09-25,5.62,5.81,5.38,5.56,4.5,2613200
2000-09-26,5.56,5.56,5.12,5.12,4.15,1829800
2000-09-27,5.25,5.44,4.94,5.06,4.09,1583700
2000-09-28,5.0,5.62,4.88,5.44,4.4,1615600
2000-09-29,5.62,5.88,5.44,5.88,4.75,2653800
2000-10-02,5.88,6.19,5.69,5.81,4.7,3966900
2000-10-03,5.81,5.88,5.5,5.56,4.5,1524200
2000-10-04,5.62,6.25,5.25,6.12,4.95,5329700
2000-10-05,6.12,6.81,5.94,6.62,5.36,7820900
2000-10-06,6.62,6.81,6.06,6.12,4.95,4017200
2000-10-09,6.19,6.38,6.0,6.19,5.0,1773000
2000-10-10,6.44,6.62,5.88,6.0,4.85,4037400
2000-10-11,5.75,5.88,5.25,5.5,4.45,2594300
2000-10-12,5.5,5.75,5.12,5.25,4.25,2137400
2000-10-13,5.25,5.69,5.25,5.56,4.5,1706100
2000-10-16,5.56,5.81,5.44,5.62,4.55,1275000
2000-10-17,5.62,5.75,5.19,5.31,4.3,1005600
2000-10-18,5.19,5.44,4.75,5.0,4.04,1999000
2000-10-19,5.12,5.38,5.0,5.19,4.2,1950000
2000-10-20,5.12,5.25,4.94,5.25,4.25,2790800
2000-10-23,5.38,5.62,5.31,5.56,4.5,2968100
2000-10-24,5.56,5.94,5.5,5.69,4.6,2537800
2000-10-25,5.56,6.19,5.56,6.12,4.95,3979000
2000-10-26,6.06,6.12,5.56,6.0,4.85,2899600
2000-10-27,6.0,6.38,5.81,6.0,4.85,2949700
2000-10-30,5.88,5.88,5.69,5.88,4.75,1066800
2000-10-31,5.88,6.06,5.62,6.0,4.85,1336800
2000-11-01,5.81,5.88,5.69,5.75,4.65,972300
2000-11-02,6.0,6.25,5.88,6.06,4.9,3255900
2000-11-03,6.0,6.06,5.81,5.94,4.8,1122900
2000-11-06,5.88,6.19,5.81,5.94,4.8,1765100
2000-11-07,5.88,5.94,5.62,5.81,4.7,1183100
2000-11-08,5.94,6.0,5.69,6.0,4.85,1234800
2000-11-09,5.88,6.0,5.56,5.75,4.65,2070900
2000-11-10,5.62,5.75,5.5,5.56,4.5,917800
2000-11-13,5.44,5.44,5.06,5.19,4.2,1664400
2000-11-14,5.31,5.5,5.25,5.38,4.35,1183600
2000-11-15,5.44,5.62,5.38,5.62,4.55,1901200
2000-11-16,5.5,5.56,5.38,5.56,4.5,857000
2000-11-17,5.5,5.56,5.31,5.56,4.5,1231200
2000-11-20,5.5,5.81,5.44,5.69,4.6,2040300
2000-11-21,5.56,5.69,5.44,5.56,4.5,2009900
2000-11-22,5.5,5.5,5.06,5.38,4.35,1252600
2000-11-24,5.38,5.38,5.25,5.38,4.35,241800
2000-11-27,5.38,5.44,4.75,5.06,4.09,1348100
2000-11-28,4.94,5.0,4.0,4.25,3.44,1865400
2000-11-29,4.12,4.25,3.25,3.5,2.83,3243300
2000-11-30,3.44,3.62,3.06,3.25,2.63,2256600
2000-12-01,3.31,3.62,3.12,3.31,2.68,3032300
2000-12-04,3.38,3.44,2.25,2.25,1.82,7159600
2000-12-05,2.38,2.62,2.31,2.5,2.02,5691100
2000-12-06,2.5,2.62,2.31,2.44,1.97,2863900
2000-12-07,2.5,2.56,2.31,2.44,1.97,1629500
2000-12-08,2.62,2.62,2.31,2.56,2.07,2234200
2000-12-11,2.62,3.31,2.56,3.25,2.63,2554500
2000-12-12,3.25,3.81,3.06,3.44,2.78,2287600
2000-12-13,3.38,3.5,2.94,2.94,2.38,1750200
2000-12-14,2.94,2.94,2.81,2.81,2.27,981900
2000-12-15,2.81,2.88,2.69,2.75,2.22,1649300
2000-12-18,2.81,2.88,2.56,2.62,2.12,1317000
2000-12-19,2.5,2.69,2.31,2.44,1.97,1788400
2000-12-20,2.38,2.38,2.19,2.31,1.87,2420900
2000-12-21,2.44,2.69,2.38,2.62,2.12,2242200
2000-12-22,2.69,2.94,2.56,2.81,2.27,2588600
2000-12-26,2.75,2.88,2.38,2.5,2.02,1471100
2000-12-27,2.5,2.56,2.31,2.38,1.92,1457500
2000-12-28,2.38,2.56,2.38,2.5,2.02,2195300
2000-12-29,2.5,2.62,2.38,2.44,1.97,2464600
2001-01-02,2.56,2.56,2.31,2.31,1.87,703000
