Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,15.25,15.25,14.94,15.12,4.15,117700
2000-01-03,15.12,15.75,15.12,15.38,4.22,112600
2000-01-04,15.19,15.62,15.19,15.31,4.21,134800
2000-01-05,15.5,15.75,15.38,15.75,4.33,93200
2000-01-06,15.88,16.62,15.88,16.56,4.55,164200
2000-01-07,16.62,16.94,16.56,16.81,4.62,132500
2000-01-10,16.94,17.19,16.69,17.12,4.7,179200
2000-01-11,17.12,17.19,16.62,16.81,4.62,98400
2000-01-12,16.88,16.94,16.5,16.56,4.55,88400
2000-01-13,16.56,16.62,16.44,16.62,4.57,80500
2000-01-14,16.69,16.69,16.56,16.56,4.55,86400
2000-01-18,16.69,16.69,16.12,16.12,4.43,249200
2000-01-19,16.12,16.75,16.06,16.69,4.58,214300
2000-01-20,16.81,17.19,16.81,17.06,4.69,118900
2000-01-21,16.94,17.44,16.94,17.38,4.77,78200
2000-01-24,17.5,17.5,17.06,17.06,4.69,99900
2000-01-25,17.12,17.25,16.94,17.0,4.67,131800
2000-01-26,17.12,17.44,17.06,17.19,4.72,74800
2000-01-27,17.25,17.38,16.94,17.0,4.67,118800
2000-01-28,16.44,16.44,16.19,16.38,4.66,69700
2000-01-31,16.44,16.5,16.12,16.12,4.59,68700
2000-02-01,16.12,16.38,15.88,16.06,4.57,78900
2000-02-02,16.0,16.12,15.75,15.81,4.5,98100
2000-02-03,15.88,15.88,15.56,15.56,4.43,85500
2000-02-04,15.62,15.62,15.44,15.5,4.41,129100
2000-02-07,15.44,15.62,15.38,15.44,4.39,94600
2000-02-08,15.56,15.62,15.38,15.44,4.39,68000
2000-02-09,15.12,15.31,14.94,15.0,4.27,155800
2000-02-10,14.75,15.0,14.75,14.88,4.23,91500
2000-02-11,14.88,15.0,14.81,14.88,4.23,62900
2000-02-14,14.88,15.06,14.81,15.06,4.28,114100
2000-02-15,15.0,15.19,15.0,15.12,4.3,54600
2000-02-16,15.25,15.5,15.25,15.31,4.35,44900
2000-02-17,15.31,15.31,15.12,15.25,4.34,60400
2000-02-18,15.25,15.44,15.25,15.31,4.35,68300
2000-02-22,15.5,15.75,15.31,15.31,4.35,95600
2000-02-23,15.69,15.75,15.12,15.38,4.37,126100
2000-02-24,15.31,15.31,15.12,15.25,4.34,40500
2000-02-25,15.25,15.31,15.0,15.06,4.28,89200
2000-02-28,15.19,15.31,15.12,15.19,4.32,67100
2000-02-29,15.06,15.56,15.0,15.56,4.43,131800
2000-03-01,15.62,15.62,15.12,15.25,4.34,76100
2000-03-02,15.25,15.38,15.06,15.38,4.37,51900
2000-03-03,15.5,15.5,15.12,15.25,4.34,43500
2000-03-06,15.38,15.38,15.0,15.19,4.32,70300
2000-03-07,15.12,15.12,14.81,14.81,4.21,77100
2000-03-08,14.94,15.19,14.88,15.12,4.3,56700
2000-03-09,15.19,15.19,14.75,14.75,4.19,68900
2000-03-10,14.75,15.38,14.75,15.31,4.35,100400
2000-03-13,15.44,15.5,15.12,15.12,4.3,78500
2000-03-14,15.19,15.19,14.94,15.0,4.27,62000
2000-03-15,14.94,15.0,14.56,14.81,4.21,192300
2000-03-16,14.88,15.06,14.88,14.94,4.25,102100
2000-03-17,14.94,15.19,14.88,15.0,4.27,99300
2000-03-20,15.12,15.38,15.0,15.38,4.37,83900
2000-03-21,15.5,15.62,15.31,15.56,4.43,75200
2000-03-22,15.69,15.75,15.38,15.75,4.48,61700
2000-03-23,15.69,15.88,15.38,15.5,4.41,66000
2000-03-24,15.5,15.56,14.62,14.88,4.23,141500
2000-03-27,15.0,15.12,14.88,15.0,4.27,65500
2000-03-28,15.0,15.25,14.88,14.88,4.23,104700
2000-03-29,15.0,15.12,14.88,15.0,4.27,80100
2000-03-30,15.0,15.0,14.62,14.62,4.16,179000
2000-03-31,14.69,14.88,13.94,14.0,3.98,279600
2000-04-03,14.12,14.44,14.06,14.06,4.0,221000
2000-04-04,14.12,14.12,13.81,13.88,3.95,168600
2000-04-05,13.88,14.38,13.88,14.38,4.09,192100
2000-04-06,14.31,14.75,14.31,14.69,4.18,59300
2000-04-07,14.75,14.81,14.5,14.56,4.14,90100
2000-04-10,14.69,14.81,14.5,14.56,4.14,168100
2000-04-11,14.5,14.88,14.44,14.81,4.21,92400
2000-04-12,15.0,15.94,14.94,15.69,4.46,165800
2000-04-13,15.69,16.25,15.69,15.81,4.5,140100
2000-04-14,15.81,16.0,15.12,15.19,4.32,109600
2000-04-17,15.25,15.5,15.12,15.44,4.39,89600
2000-04-18,15.5,15.75,15.5,15.69,4.46,57900
2000-04-19,15.69,16.38,15.69,16.25,4.62,152000
2000-04-20,16.12,16.5,16.12,16.5,4.69,88300
2000-04-24,16.5,16.69,16.38,16.62,4.73,135900
2000-04-25,16.62,16.69,16.38,16.62,4.73,144000
2000-04-26,16.56,16.75,16.5,16.69,4.75,160100
2000-04-27,16.62,16.75,16.5,16.56,4.71,185500
2000-04-28,16.12,16.12,15.75,15.94,4.7,143900
2000-05-01,15.81,15.88,15.69,15.88,4.68,97000
2000-05-02,15.75,16.0,15.75,16.0,4.72,99500
2000-05-03,16.0,16.0,15.81,16.0,4.72,78800
2000-05-04,15.88,16.0,15.5,15.56,4.59,82800
2000-05-05,15.38,15.5,15.31,15.44,4.55,91300
2000-05-08,15.38,16.0,15.38,15.94,4.7,117100
2000-05-09,15.81,15.94,15.62,15.88,4.68,78400
2000-05-10,16.0,16.0,15.62,15.81,4.66,48600
2000-05-11,15.88,16.12,15.81,16.12,4.75,46400
2000-05-12,16.12,16.44,16.12,16.44,4.85,121400
2000-05-15,16.5,16.62,16.38,16.62,4.9,115500
2000-05-16,16.56,16.69,16.5,16.5,4.86,49600
2000-05-17,16.56,16.75,16.19,16.19,4.77,99300
2000-05-18,16.19,16.25,16.06,16.06,4.73,43900
2000-05-19,16.19,16.38,15.81,16.0,4.72,76300
2000-05-22,16.25,16.31,15.81,16.25,4.79,78000
2000-05-23,16.75,16.75,16.06,16.12,4.75,103600
2000-05-24,16.25,16.25,16.0,16.0,4.72,58900
2000-05-25,16.06,16.06,15.94,15.94,4.7,37900
2000-05-26,15.94,16.0,15.88,15.88,4.68,58400
2000-05-30,15.94,16.25,15.88,16.19,4.77,66400
2000-05-31,16.25,16.25,16.06,16.06,4.73,45800
2000-06-01,16.12,16.19,16.0,16.06,4.73,55500
2000-06-02,16.0,16.19,16.0,16.12,4.75,40300
2000-06-05,16.19,16.25,16.12,16.12,4.75,36500
2000-06-06,16.25,16.31,16.19,16.25,4.79,31800
2000-06-07,16.25,16.38,16.19,16.25,4.79,43800
2000-06-08,16.38,16.38,16.25,16.38,4.83,34600
2000-06-09,16.44,16.5,16.44,16.5,4.86,30600
2000-06-12,16.5,16.88,16.5,16.56,4.88,139600
2000-06-13,16.69,16.75,16.31,16.5,4.86,65500
2000-06-14,16.5,16.56,16.38,16.5,4.86,65600
2000-06-15,16.62,16.62,16.44,16.5,4.86,92900
2000-06-16,16.56,16.62,16.44,16.5,4.86,47400
2000-06-19,16.5,16.5,16.38,16.5,4.86,51600
2000-06-20,16.5,16.5,16.38,16.44,4.85,46300
2000-06-21,16.5,16.5,16.38,16.5,4.86,79800
2000-06-22,16.44,16.69,16.25,16.25,4.79,52900
2000-06-23,16.38,16.5,16.25,16.31,4.81,51700
2000-06-26,16.31,16.5,16.31,16.38,4.83,57900
2000-06-27,16.5,16.5,16.44,16.5,4.86,46400
2000-06-28,16.44,16.56,16.44,16.5,4.86,91500
2000-06-29,16.5,16.5,16.44,16.44,4.85,45400
2000-06-30,16.5,16.5,16.12,16.27,4.79,79200
2000-07-03,16.19,16.38,16.19,16.38,4.83,16600
2000-07-05,16.5,16.62,16.25,16.56,4.88,43600
2000-07-06,16.62,16.62,16.38,16.5,4.86,60400
2000-07-07,16.5,16.62,16.44,16.5,4.86,91400
2000-07-10,16.5,16.88,16.44,16.69,4.92,153700
2000-07-11,16.81,16.94,16.69,16.88,4.97,65300
2000-07-12,16.94,17.25,16.88,17.0,5.01,107900
2000-07-13,17.25,17.38,17.0,17.19,5.07,56700
2000-07-14,17.38,17.44,17.19,17.38,5.12,65200
2000-07-17,17.44,17.5,17.31,17.44,5.14,66500
2000-07-18,17.44,17.69,17.38,17.5,5.16,42600
2000-07-19,17.56,17.94,17.5,17.81,5.25,53100
2000-07-20,17.94,18.44,17.94,18.19,5.36,54800
2000-07-21,18.38,18.56,18.31,18.38,5.42,76700
2000-07-24,18.62,18.62,18.44,18.5,5.45,89100
2000-07-25,18.44,18.44,18.06,18.31,5.4,73500
2000-07-26,18.25,18.44,18.12,18.44,5.43,57900
2000-07-27,18.44,18.44,18.12,18.25,5.38,84700
2000-07-28,17.5,17.69,17.5,17.56,5.35,51500
2000-07-31,17.69,18.0,17.62,18.0,5.48,60300
2000-08-01,18.0,18.19,18.0,18.12,5.52,41100
2000-08-02,18.12,18.19,18.0,18.19,5.54,33300
2000-08-03,18.25,18.38,18.12,18.19,5.54,45400
2000-08-04,18.25,18.25,17.88,18.19,5.54,64400
2000-08-07,18.12,18.31,18.12,18.19,5.54,54900
2000-08-08,18.19,18.44,18.12,18.44,5.61,63300
2000-08-09,18.5,18.62,18.38,18.62,5.67,68500
2000-08-10,18.5,18.75,18.44,18.69,5.69,123000
2000-08-11,18.69,18.94,18.69,18.81,5.73,99200
2000-08-14,18.88,19.12,18.88,18.94,5.77,67000
2000-08-15,18.94,19.19,18.5,18.56,5.65,34600
2000-08-16,18.62,18.69,18.38,18.56,5.65,97900
2000-08-17,18.75,18.81,18.56,18.62,5.67,57700
2000-08-18,18.75,18.81,18.5,18.5,5.63,102400
2000-08-21,18.88,18.94,18.44,18.62,5.67,74300
2000-08-22,18.88,19.25,18.62,18.69,5.69,81900
2000-08-23,18.56,18.75,18.38,18.38,5.6,98000
2000-08-24,18.25,18.56,18.19,18.56,5.65,47200
2000-08-25,18.5,18.56,18.25,18.44,5.61,48400
2000-08-28,18.38,18.69,17.88,18.06,5.5,67300
2000-08-29,17.81,18.25,17.81,17.94,5.46,58000
2000-08-30,17.94,18.06,17.81,18.0,5.48,48600
2000-08-31,18.0,18.19,17.88,18.06,5.5,55500
2000-09-01,18.0,18.19,17.88,17.94,5.46,45600
2000-09-05,17.94,18.31,17.75,18.31,5.58,65000
2000-09-06,18.25,18.25,17.88,18.12,5.52,33700
2000-09-07,18.25,18.25,17.75,18.0,5.48,43700
2000-09-08,18.0,18.25,17.94,18.25,5.56,56400
2000-09-11,18.25,18.44,18.12,18.31,5.58,70800
2000-09-12,18.12,18.62,18.12,18.19,5.54,89000
2000-09-13,18.19,18.5,18.12,18.44,5.61,59600
2000-09-14,18.5,19.0,18.44,18.81,5.73,86000
2000-09-15,18.62,18.81,18.44,18.44,5.61,52000
2000-09-18,18.44,18.69,18.0,18.0,5.48,71400
2000-09-19,17.88,18.0,17.81,18.0,5.48,66400
2000-09-20,17.94,18.19,17.81,17.81,5.42,93800
2000-09-21,17.94,18.0,17.88,17.94,5.46,40800
2000-09-22,17.88,18.06,17.88,18.0,5.48,45500
2000-09-25,18.12,18.12,17.81,17.94,5.46,39900
2000-09-26,17.88,18.06,17.75,17.94,5.46,54200
2000-09-27,17.94,18.06,17.75,17.88,5.44,40800
2000-09-28,17.88,17.94,17.69,17.81,5.42,84100
2000-09-29,17.88,17.94,17.75,17.75,5.41,76700
2000-10-02,17.81,17.88,17.56,17.56,5.35,51400
2000-10-03,17.56,17.81,17.56,17.62,5.37,41400
2000-10-04,17.75,18.25,17.69,18.25,5.56,118500
2000-10-05,18.12,18.12,17.69,17.75,5.41,37800
2000-10-06,17.75,18.0,17.62,17.62,5.37,38000
2000-10-09,17.75,17.75,17.5,17.69,5.39,62400
2000-10-10,17.75,17.94,17.75,17.94,5.46,46900
2000-10-11,17.88,17.88,17.75,17.81,5.42,32700
2000-10-12,17.94,17.94,17.62,17.62,5.37,41900
2000-10-13,17.56,17.88,17.38,17.88,5.44,48900
2000-10-16,17.75,17.94,17.69,17.81,5.42,43700
2000-10-17,17.62,17.75,16.81,16.81,5.12,83300
2000-10-18,16.94,17.38,16.44,17.25,5.25,112400
2000-10-19,17.31,17.75,17.19,17.69,5.39,46500
2000-10-20,17.69,17.88,17.62,17.62,5.37,39600
2000-10-23,17.62,17.81,17.56,17.62,5.37,70400
2000-10-24,17.75,17.75,17.62,17.75,5.41,121600
2000-10-25,17.81,17.81,17.38,17.38,5.29,50400
2000-10-26,17.5,17.69,17.5,17.62,5.37,59800
2000-10-27,17.06,17.69,17.06,17.69,5.57,46800
2000-10-30,17.62,17.75,17.56,17.69,5.57,93700
2000-10-31,17.75,17.75,17.5,17.69,5.57,49900
2000-11-01,17.56,17.75,17.5,17.5,5.51,39400
2000-11-02,17.38,17.5,17.38,17.5,5.51,33400
2000-11-03,17.5,17.5,17.06,17.25,5.43,34800
2000-11-06,17.25,17.25,16.88,16.94,5.34,53800
2000-11-07,16.94,17.19,16.81,17.06,5.37,57200
2000-11-08,17.12,17.19,16.94,17.12,5.39,29900
2000-11-09,17.0,17.0,16.69,16.94,5.34,59900
2000-11-10,16.88,17.0,16.69,16.69,5.26,62900
2000-11-13,16.5,16.88,16.5,16.81,5.3,85900
2000-11-14,16.75,16.81,16.69,16.81,5.3,18900
2000-11-15,16.94,17.12,16.75,16.81,5.3,51500
2000-11-16,16.75,17.0,16.62,16.81,5.3,37400
2000-11-17,16.94,17.0,16.81,16.81,5.3,47100
2000-11-20,16.94,17.25,16.88,17.25,5.43,63900
2000-11-21,17.5,17.5,17.06,17.06,5.37,83300
2000-11-22,17.12,17.25,16.88,16.94,5.34,58000
2000-11-24,17.0,17.19,16.94,17.19,5.41,16200
2000-11-27,16.88,17.38,16.88,17.25,5.43,74100
2000-11-28,17.12,17.44,17.0,17.06,5.37,35700
2000-11-29,17.0,17.25,17.0,17.19,5.41,35900
2000-11-30,17.12,17.25,16.88,16.88,5.32,63300
2000-12-01,16.88,17.12,16.88,17.0,5.35,47700
2000-12-04,16.81,16.94,16.75,16.75,5.28,65000
2000-12-05,16.81,17.19,16.69,17.19,5.41,84300
2000-12-06,17.12,17.19,16.75,16.81,5.3,59800
2000-12-07,16.81,16.94,16.75,16.88,5.32,37500
2000-12-08,16.94,17.06,16.88,17.0,5.35,69700
2000-12-11,17.0,17.0,16.81,16.88,5.32,74300
2000-12-12,16.88,16.94,16.81,16.94,5.34,39600
2000-12-13,16.94,16.94,16.81,16.88,5.32,60900
2000-12-14,16.94,16.94,16.81,16.88,5.32,38300
2000-12-15,16.88,16.88,16.69,16.81,5.3,69600
2000-12-18,16.81,17.12,16.81,16.94,5.34,83900
2000-12-19,16.88,17.19,16.88,16.94,5.34,90500
2000-12-20,17.06,17.12,16.81,16.81,5.3,77000
2000-12-21,16.81,16.88,16.69,16.81,5.3,50700
2000-12-22,16.75,16.88,16.19,16.5,5.2,156300
2000-12-26,16.5,16.5,15.94,16.06,5.06,114800
2000-12-27,16.0,16.38,15.94,16.25,5.12,165400
2000-12-28,16.19,16.75,16.19,16.62,5.24,155600
2000-12-29,16.5,16.75,16.25,16.25,5.12,157500
2001-01-02,16.25,16.38,16.06,16.06,5.06,124000
2001-01-03,16.12,16.69,16.12,16.69,5.26,127700
2001-01-04,16.81,16.81,16.56,16.69,5.26,132000
2001-01-05,16.69,16.69,16.25,16.25,5.12,113500
2001-01-08,16.25,16.88,16.25,16.81,5.3,161300
2001-01-09,16.94,17.62,16.88,17.44,5.49,122200
2001-01-10,17.25,17.88,17.25,17.88,5.63,137900
2001-01-11,17.75,17.81,17.5,17.62,5.55,152400
2001-01-12,17.69,17.69,17.5,17.56,5.53,48400
2001-01-16,17.62,17.88,17.5,17.69,5.57,112700
2001-01-17,17.75,17.75,17.5,17.56,5.53,98900
2001-01-18,17.5,17.69,17.38,17.69,5.57,87900
