Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,20.28,20.31,20.06,20.22,9.87,2356800
2000-01-03,20.16,20.19,19.0,19.56,9.55,9037000
2000-01-04,18.62,18.84,18.0,18.59,9.08,15237200
2000-01-05,18.5,18.88,18.03,18.41,8.99,8228200
2000-01-06,18.53,19.5,18.47,19.22,9.38,8326800
2000-01-07,19.62,19.84,19.28,19.56,9.55,7711200
2000-01-10,19.19,19.31,18.88,18.94,9.25,8953200
2000-01-11,18.91,19.0,18.53,18.62,9.09,6170800
2000-01-12,18.66,19.31,18.66,19.16,9.35,7030000
2000-01-13,19.94,20.25,19.84,20.22,9.87,11077000
2000-01-14,21.88,21.88,20.56,20.84,10.18,11497400
2000-01-18,19.88,20.12,19.25,19.44,9.49,12744000
2000-01-19,19.19,19.47,18.25,18.38,8.97,17140600
2000-01-20,18.41,18.66,17.91,18.19,8.88,14965200
2000-01-21,18.25,18.81,18.03,18.31,8.94,14016600
2000-01-24,18.5,18.72,17.72,17.94,8.76,9540000
2000-01-25,17.91,19.0,17.91,18.81,9.19,10701000
2000-01-26,18.72,19.25,18.5,19.0,9.28,14587200
2000-01-27,19.31,19.88,19.09,19.5,9.52,10255000
2000-01-28,19.44,19.56,19.09,19.38,9.46,8089000
2000-01-31,19.16,20.0,19.16,20.0,9.77,9267400
2000-02-01,20.0,20.34,19.91,20.22,9.87,9528800
2000-02-02,20.22,20.25,19.5,19.5,9.63,6637600
2000-02-03,19.66,19.81,19.03,19.44,9.59,10805600
2000-02-04,19.56,19.56,19.22,19.28,9.52,7146800
2000-02-07,19.12,19.31,19.0,19.09,9.43,8873200
2000-02-08,19.16,19.78,19.16,19.47,9.61,8445000
2000-02-09,19.22,19.31,18.88,18.94,9.35,9003600
2000-02-10,18.94,19.03,18.34,18.38,9.07,14250800
2000-02-11,18.84,19.31,18.56,18.94,9.35,11174800
2000-02-14,19.19,19.31,18.81,18.91,9.33,8303800
2000-02-15,18.69,18.97,18.38,18.84,9.3,7574600
2000-02-16,18.88,18.88,18.0,18.0,8.89,7861000
2000-02-17,18.53,18.56,17.19,17.47,8.62,9629000
2000-02-18,17.38,17.38,16.38,16.75,8.27,20619200
2000-02-22,16.88,17.5,16.38,17.5,8.64,10546000
2000-02-23,17.12,17.34,16.38,17.0,8.39,8786200
2000-02-24,16.56,16.78,16.0,16.44,8.11,9797200
2000-02-25,16.59,16.94,16.12,16.34,8.07,8026800
2000-02-28,16.69,17.28,16.5,17.06,8.42,8663600
2000-02-29,17.06,17.09,16.31,16.53,8.16,11133400
2000-03-01,16.53,17.47,16.53,17.34,8.56,11305800
2000-03-02,17.78,17.84,16.72,16.97,8.38,10556200
2000-03-03,17.31,17.5,17.03,17.34,8.56,8831400
2000-03-06,17.34,17.75,17.22,17.22,8.5,7545400
2000-03-07,17.34,17.34,16.31,16.53,8.16,8782600
2000-03-08,16.41,16.97,15.5,15.5,7.65,9310400
2000-03-09,17.16,17.16,16.12,16.41,8.1,9146600
2000-03-10,16.5,16.62,16.0,16.09,7.94,8554000
2000-03-13,15.88,16.47,15.69,16.31,8.05,8542400
2000-03-14,16.22,16.28,15.91,15.94,7.87,7903800
2000-03-15,16.0,18.0,16.0,18.0,8.89,15288600
2000-03-16,17.94,19.38,17.75,19.25,9.5,19621600
2000-03-17,19.06,19.78,19.03,19.25,9.5,14195400
2000-03-20,19.25,19.28,18.69,18.97,9.36,10822200
2000-03-21,18.84,19.97,18.84,19.78,9.76,12409200
2000-03-22,19.72,20.12,19.59,20.0,9.87,10333800
2000-03-23,19.94,20.97,19.88,20.72,10.23,12593200
2000-03-24,20.69,21.31,20.38,20.5,10.12,12729000
2000-03-27,20.44,20.91,20.12,20.45,10.1,14213400
2000-03-28,20.25,20.62,20.12,20.34,10.04,11255800
2000-03-29,20.12,20.34,19.41,19.72,9.73,10821000
2000-03-30,20.12,20.41,19.59,19.59,9.67,9668200
2000-03-31,19.72,20.66,19.38,20.38,10.06,10090800
2000-04-03,20.47,22.19,20.31,21.84,10.78,15408800
2000-04-04,21.84,22.75,21.0,21.62,10.67,16863600
2000-04-05,21.72,21.72,20.81,21.22,10.47,8731200
2000-04-06,20.75,21.0,19.81,20.25,10.0,13575200
2000-04-07,20.0,20.22,19.81,19.88,9.81,9817800
2000-04-10,19.0,20.06,18.94,19.75,9.75,15029600
2000-04-11,19.66,20.69,19.66,20.19,9.97,11059400
2000-04-12,20.59,21.38,20.47,21.0,10.37,13893800
2000-04-13,21.16,21.16,20.59,20.88,10.3,9115200
2000-04-14,20.88,20.91,19.12,20.0,9.87,13311200
2000-04-17,19.31,20.03,19.31,19.69,9.72,9401200
2000-04-18,19.44,20.72,19.41,20.41,10.07,8063600
2000-04-19,20.41,20.53,20.09,20.38,10.06,6159400
2000-04-20,20.69,21.12,20.47,20.91,10.32,7525800
2000-04-24,20.91,21.56,20.84,21.38,10.55,7880200
2000-04-25,21.5,22.28,21.5,21.53,10.63,8943000
2000-04-26,21.53,22.0,21.53,21.53,10.63,7376000
2000-04-27,21.03,21.22,20.81,21.03,10.38,9294800
2000-04-28,21.16,21.34,20.53,20.53,10.13,9847000
2000-05-01,20.56,20.97,20.34,20.56,10.15,9475400
2000-05-02,20.53,20.97,20.38,20.69,10.21,7786800
2000-05-03,20.59,20.91,20.19,20.28,10.12,8711600
2000-05-04,20.31,20.53,19.78,19.88,9.92,6629600
2000-05-05,19.81,20.22,19.62,19.94,9.95,5063400
2000-05-08,19.81,20.88,19.75,20.62,10.29,5539600
2000-05-09,20.69,21.09,20.56,20.75,10.35,5631800
2000-05-10,20.75,20.97,20.59,20.78,10.37,7265400
2000-05-11,21.19,21.75,21.12,21.25,10.6,6144800
2000-05-12,21.16,22.28,21.06,21.84,10.9,8653800
2000-05-15,21.97,22.5,21.88,22.44,11.19,6668600
2000-05-16,22.5,22.5,21.69,21.81,10.88,7645800
2000-05-17,21.53,21.84,21.25,21.47,10.71,4750200
2000-05-18,21.53,22.16,21.44,21.59,10.77,4738000
2000-05-19,21.44,21.72,21.09,21.56,10.76,4993000
2000-05-22,21.75,22.12,21.38,21.94,10.95,3989000
2000-05-23,21.94,22.56,21.84,21.91,10.93,7234200
2000-05-24,22.41,22.81,22.09,22.25,11.1,14351200
2000-05-25,22.28,22.28,21.38,21.94,10.95,7388800
2000-05-26,21.88,22.53,21.78,22.19,11.07,5937800
2000-05-30,22.41,22.5,21.91,22.44,11.19,6055000
2000-05-31,22.5,22.75,22.25,22.62,11.29,7610600
2000-06-01,22.62,23.44,22.47,22.97,11.46,13134000
2000-06-02,23.5,23.88,23.38,23.88,11.91,8794200
2000-06-05,23.31,23.59,22.44,22.56,11.26,8318000
2000-06-06,22.59,22.59,21.81,22.47,11.21,5388200
2000-06-07,22.34,23.0,22.25,22.75,11.35,4832200
2000-06-08,22.62,22.69,21.91,22.41,11.18,3962800
2000-06-09,22.59,22.59,21.41,21.59,10.77,4697000
2000-06-12,21.88,22.19,21.75,21.98,10.97,3423000
2000-06-13,21.81,21.97,21.53,21.88,10.91,4721200
2000-06-14,21.88,22.38,21.69,22.28,11.12,5241800
2000-06-15,21.81,22.06,20.66,21.03,10.49,14971200
2000-06-16,20.88,20.88,18.66,19.16,9.56,24845200
2000-06-19,19.16,20.22,19.09,20.12,10.04,11854000
2000-06-20,20.06,20.28,19.38,19.56,9.76,9436600
2000-06-21,19.59,19.62,19.03,19.16,9.56,7338600
2000-06-22,19.5,19.94,19.31,19.91,9.93,6969200
2000-06-23,19.94,20.16,19.66,19.72,9.84,4174400
2000-06-26,19.91,20.34,19.78,20.09,10.03,4371400
2000-06-27,20.5,20.94,20.38,20.5,10.23,7662600
2000-06-28,20.5,21.19,20.38,20.55,10.25,6948600
2000-06-29,20.5,20.62,20.25,20.38,10.17,7680000
2000-06-30,20.25,20.44,19.37,19.38,9.67,9739200
2000-07-03,20.12,20.41,19.94,20.34,10.15,3664000
2000-07-05,20.62,21.12,20.5,20.72,10.34,6442800
2000-07-06,20.88,21.44,20.31,21.25,10.6,5954600
2000-07-07,21.47,22.0,21.34,21.34,10.65,8476800
2000-07-10,21.5,21.81,21.31,21.31,10.63,5502400
2000-07-11,21.31,21.69,21.19,21.47,10.71,5370800
2000-07-12,21.78,22.03,21.38,21.56,10.76,5943200
2000-07-13,21.62,21.84,21.03,21.41,10.68,5538200
2000-07-14,21.38,21.97,21.31,21.84,10.9,5323200
2000-07-17,21.94,22.0,21.5,21.69,10.82,4846400
2000-07-18,21.25,21.31,20.84,21.03,10.49,8181800
2000-07-19,21.03,21.19,20.91,21.09,10.52,5291200
2000-07-20,21.12,21.72,21.12,21.66,10.81,6919800
2000-07-21,21.66,21.75,21.0,21.19,10.57,5734000
2000-07-24,21.16,21.44,20.91,20.91,10.43,5403000
2000-07-25,21.25,21.25,20.69,20.91,10.43,3706600
2000-07-26,20.31,20.66,20.31,20.47,10.21,6996000
2000-07-27,20.66,21.12,20.56,21.0,10.48,5093800
2000-07-28,20.56,20.94,20.34,20.94,10.45,4904200
2000-07-31,20.97,21.0,20.53,20.75,10.35,5609200
2000-08-01,20.88,20.91,20.47,20.59,10.27,5604400
2000-08-02,20.72,20.81,20.47,20.72,10.45,4760600
2000-08-03,20.69,22.03,20.59,21.97,11.08,11149800
2000-08-04,22.09,22.38,21.97,22.06,11.13,11625200
2000-08-07,22.22,22.44,21.81,22.25,11.22,7151200
2000-08-08,22.41,22.41,21.78,22.16,11.17,4539800
2000-08-09,22.12,22.53,21.59,22.12,11.16,7885400
2000-08-10,22.44,22.78,22.16,22.44,11.32,6813800
