Date,Open,High,Low,Close,Adj Close,Volume
2001-06-12,43.71,45.17,42.38,43.97,36.36,3894400
2001-06-13,43.84,44.24,43.71,43.84,36.25,758000
2001-06-14,43.71,43.71,42.38,42.91,35.48,501000
2001-06-15,42.78,43.58,42.38,43.58,36.03,382800
2001-06-18,45.03,46.09,43.84,45.14,37.32,358300
2001-06-19,45.03,45.96,44.37,45.96,38.0,232800
2001-06-20,46.09,49.01,46.09,47.15,38.98,176100
2001-06-21,47.15,47.68,47.02,47.15,38.98,79100
2001-06-22,47.1,47.1,45.96,46.3,38.28,109800
2001-06-25,45.7,47.68,43.71,46.75,38.66,142500
2001-06-26,46.57,46.57,44.98,45.03,37.23,109300
2001-06-27,45.03,46.23,44.37,45.83,37.89,96100
2001-06-28,46.36,47.28,46.09,46.36,38.33,102500
2001-06-29,46.36,47.55,45.7,47.02,38.87,222800
2001-07-02,47.02,47.15,45.7,46.36,38.33,46300
2001-07-03,46.75,46.75,45.7,46.09,38.11,54300
2001-07-05,46.36,47.26,46.09,47.07,38.92,74800
2001-07-06,47.05,47.28,46.75,46.97,38.83,60500
2001-07-09,46.62,46.62,45.03,45.3,37.45,117300
2001-07-10,45.43,45.59,44.37,44.77,37.01,148900
2001-07-11,45.17,47.02,44.66,45.7,37.78,151900
2001-07-12,45.7,46.36,44.64,44.69,36.95,198900
2001-07-13,44.66,45.7,44.66,45.7,37.78,112200
2001-07-16,45.83,46.04,45.7,45.96,38.0,48800
2001-07-17,45.96,46.36,44.77,45.96,38.0,64900
2001-07-18,45.83,45.83,45.03,45.43,37.56,80500
2001-07-19,45.03,45.3,44.5,45.03,37.23,128200
2001-07-20,44.9,45.03,44.69,44.9,37.12,38700
2001-07-23,44.9,44.9,44.64,44.9,37.12,59900
2001-07-24,44.9,44.9,43.18,43.44,35.92,221400
2001-07-25,43.18,43.18,41.06,43.05,35.59,371700
2001-07-26,43.05,43.97,43.05,43.6,36.05,96100
2001-07-27,43.71,45.56,43.71,45.56,37.67,118800
2001-07-30,45.17,46.33,45.03,45.03,37.23,91200
2001-07-31,46.36,47.02,44.77,45.7,37.78,267200
2001-08-01,45.96,46.36,45.75,45.75,37.82,139500
2001-08-02,45.75,45.83,44.11,44.37,36.68,153100
2001-08-03,44.37,47.02,44.37,46.75,38.66,177000
2001-08-06,47.02,47.68,46.78,47.68,39.42,46500
2001-08-07,47.42,47.81,46.36,46.36,38.33,130000
2001-08-08,46.62,46.62,45.56,46.49,38.44,67300
2001-08-09,46.36,46.49,45.7,46.12,38.13,58600
2001-08-10,46.12,46.89,46.12,46.89,38.76,25700
2001-08-13,46.62,48.34,46.49,47.44,39.22,34900
2001-08-14,47.28,49.01,47.28,48.08,39.75,72000
2001-08-15,48.48,48.48,47.68,48.34,39.97,61400
2001-08-16,48.34,48.9,48.11,48.77,40.32,68700
2001-08-17,48.74,49.72,48.74,49.27,40.74,9200
2001-08-20,49.67,51.66,49.67,51.66,42.71,174900
2001-08-21,50.99,51.26,50.33,50.46,41.72,108000
2001-08-22,50.86,53.51,50.86,52.85,43.69,180200
2001-08-23,52.98,52.98,52.19,52.19,43.14,44300
2001-08-24,51.52,51.52,50.6,50.86,42.05,154300
