Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,17.0,17.44,16.88,17.19,10.66,2933200
2000-01-03,17.75,17.88,16.69,17.38,10.77,3833200
2000-01-04,17.31,18.0,17.12,17.31,10.73,4736900
2000-01-05,17.25,17.62,17.19,17.38,10.77,2676000
2000-01-06,17.38,17.38,16.69,17.25,10.7,2428500
2000-01-07,17.19,17.25,16.5,16.56,10.27,2461900
2000-01-10,16.88,16.88,16.38,16.62,10.31,2145600
2000-01-11,16.56,16.62,16.12,16.44,10.19,1388000
2000-01-12,16.38,16.88,16.38,16.81,10.42,1638400
2000-01-13,16.81,17.38,16.75,16.94,10.5,2438200
2000-01-14,16.94,16.94,16.62,16.75,10.39,1205700
2000-01-18,16.88,17.06,16.69,16.75,10.39,1922400
2000-01-19,16.94,17.25,16.81,17.12,10.62,1665300
2000-01-20,17.06,17.12,16.56,16.75,10.39,1770300
2000-01-21,17.06,17.06,16.56,16.62,10.31,2491100
2000-01-24,16.75,16.88,16.19,16.31,10.11,1929700
2000-01-25,16.12,16.5,15.75,16.06,9.96,2462900
2000-01-26,16.5,17.0,16.31,16.56,10.27,2689000
2000-01-27,17.06,17.81,16.81,17.31,10.73,3919100
2000-01-28,17.62,18.06,17.38,17.69,10.97,4148000
2000-01-31,17.75,18.0,17.38,17.5,10.85,4220800
2000-02-01,17.5,17.69,17.12,17.5,10.85,2508200
2000-02-02,17.5,17.62,17.25,17.38,10.77,3076400
2000-02-03,17.62,18.5,17.38,18.12,11.24,3936100
2000-02-04,18.25,18.31,17.5,17.81,11.04,2430000
2000-02-07,17.81,17.81,17.38,17.38,10.77,1812700
2000-02-08,17.56,17.62,16.5,16.75,10.39,2746800
2000-02-09,17.0,17.0,16.0,16.31,10.11,2866300
2000-02-10,16.31,16.31,14.62,15.0,9.3,8920800
2000-02-11,15.12,15.31,13.88,14.5,8.99,7279600
2000-02-14,14.56,15.12,14.12,14.69,9.11,1886600
2000-02-15,14.88,14.94,14.12,14.56,9.03,3668100
2000-02-16,14.5,15.25,14.19,14.5,8.99,3947000
2000-02-17,15.44,15.94,14.94,15.88,9.84,2847000
2000-02-18,15.75,15.81,15.44,15.5,9.61,2752600
2000-02-22,15.75,16.25,15.75,16.12,10.0,4359300
2000-02-23,16.12,16.25,15.75,15.75,9.77,4033200
2000-02-24,15.94,16.0,15.5,15.75,9.77,3297300
2000-02-25,15.31,15.69,15.19,15.25,9.46,2252500
2000-02-28,15.31,15.44,14.81,15.0,9.3,1811500
2000-02-29,15.12,15.19,14.75,15.0,9.3,2533900
2000-03-01,15.12,15.25,14.62,14.75,9.15,2881500
2000-03-02,15.0,15.0,14.38,14.5,8.99,2083600
2000-03-03,14.81,14.81,14.44,14.62,9.07,2996500
2000-03-06,14.62,14.69,14.12,14.19,8.8,2744400
2000-03-07,14.31,14.38,13.88,13.94,8.64,3043900
2000-03-08,13.94,14.19,13.75,13.94,8.64,2411500
2000-03-09,13.94,14.06,13.69,13.94,8.64,2159000
2000-03-10,13.94,14.19,13.62,14.0,8.68,3602400
2000-03-13,13.94,14.06,13.75,13.94,8.64,2257200
2000-03-14,13.81,13.94,13.0,13.25,8.22,2965900
2000-03-15,13.25,13.44,13.06,13.25,8.22,2452900
2000-03-16,13.56,13.56,13.0,13.44,8.33,4848300
2000-03-17,13.75,14.75,13.44,14.25,8.84,6011700
2000-03-20,14.0,14.44,13.62,14.38,8.91,1771000
2000-03-21,14.38,14.44,13.88,13.94,8.64,2576000
2000-03-22,13.69,14.06,13.62,14.0,8.68,3040500
2000-03-23,13.94,14.38,13.94,14.0,8.68,2885500
2000-03-24,13.88,14.0,13.31,13.56,8.41,3613400
2000-03-27,13.5,14.38,13.5,14.25,8.84,3566100
2000-03-28,14.25,14.25,13.06,13.06,8.1,3799700
2000-03-29,13.81,14.25,13.38,14.12,8.76,4698100
2000-03-30,14.19,14.19,13.75,13.81,8.56,4463300
2000-03-31,13.81,13.88,13.56,13.69,8.49,3595100
2000-04-03,13.88,14.25,13.5,14.19,8.8,2803700
2000-04-04,14.19,14.69,13.75,14.25,8.84,3690700
2000-04-05,14.0,14.25,13.75,13.81,8.56,1772500
2000-04-06,13.88,14.69,13.81,14.31,8.87,1981700
2000-04-07,14.44,15.19,14.44,14.94,9.26,2653100
2000-04-10,15.06,15.69,15.06,15.56,9.65,3091200
2000-04-11,15.44,15.5,14.88,15.31,9.49,1919800
2000-04-12,15.31,15.38,14.69,15.25,9.46,2009700
2000-04-13,15.12,15.19,14.56,14.56,9.03,1606200
2000-04-14,14.31,14.5,13.75,13.81,8.56,3181500
2000-04-17,13.81,13.88,13.31,13.5,8.37,2824700
2000-04-18,13.62,14.31,13.62,14.31,8.87,2441300
2000-04-19,14.31,14.31,13.81,13.81,8.56,1697700
2000-04-20,13.94,14.06,13.81,14.0,8.68,2278500
2000-04-24,14.0,14.88,13.94,14.81,9.18,2983400
2000-04-25,15.0,15.44,14.38,15.06,9.34,2445600
2000-04-26,15.19,15.44,15.06,15.06,9.34,1640400
2000-04-27,15.12,15.12,14.56,14.94,9.26,2388100
2000-04-28,15.06,16.31,15.06,16.0,9.92,3653300
2000-05-01,16.06,16.5,15.81,15.81,9.8,1969600
2000-05-02,15.81,15.81,15.44,15.44,9.57,1386900
2000-05-03,15.38,15.44,14.69,14.81,9.18,1306000
2000-05-04,14.94,15.12,14.69,14.94,9.26,1577200
2000-05-05,15.0,16.06,14.88,15.75,9.77,2290800
2000-05-08,15.62,15.94,15.44,15.5,9.61,1894300
2000-05-09,15.44,15.56,14.75,15.0,9.3,1278100
2000-05-10,15.0,15.25,14.81,15.0,9.3,1137600
2000-05-11,16.69,19.0,15.75,18.94,11.74,12046700
2000-05-12,18.81,19.44,18.12,19.19,11.9,4319500
2000-05-15,18.94,19.44,18.56,18.81,11.66,2361800
2000-05-16,18.69,19.25,18.44,18.75,11.63,2037600
2000-05-17,18.62,18.88,18.44,18.75,11.63,1142200
2000-05-18,18.69,18.75,18.19,18.38,11.39,1599900
2000-05-19,18.06,18.38,17.69,18.25,11.32,1912100
2000-05-22,18.38,18.44,18.0,18.25,11.32,2173700
