Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,60.11,60.94,59.62,59.78,42.59,1395800
2000-01-03,61.59,65.55,61.1,63.74,45.41,3329100
2000-01-04,63.74,63.74,60.44,60.77,43.3,2361900
2000-01-05,60.61,63.9,59.45,63.9,45.53,2375400
2000-01-06,62.09,63.08,61.59,62.58,44.59,1650100
2000-01-07,62.58,65.22,60.77,64.06,45.64,2366900
2000-01-10,65.22,65.22,62.25,62.58,44.59,1913100
2000-01-11,62.91,63.41,61.1,61.92,44.12,2243300
2000-01-12,61.26,62.58,61.1,61.76,44.0,1156300
2000-01-13,61.92,63.74,60.94,63.41,45.17,1669000
2000-01-14,63.74,64.06,61.43,62.09,44.24,1565700
2000-01-18,62.58,62.75,61.43,62.25,44.35,1336500
2000-01-19,61.76,62.75,58.47,62.75,44.71,4073700
2000-01-20,61.92,61.92,59.62,59.95,42.71,1628000
2000-01-21,60.44,60.44,57.97,58.3,41.54,1739200
2000-01-24,58.79,59.95,56.32,57.31,40.83,2019300
2000-01-25,57.97,58.96,55.34,57.81,41.18,2594200
2000-01-26,58.79,59.45,57.64,57.97,41.3,1849400
2000-01-27,58.79,58.79,55.34,56.49,40.25,1893900
2000-01-28,56.32,56.49,54.02,54.02,38.49,1526400
2000-01-31,55.67,55.83,54.35,55.01,39.19,1217800
2000-02-01,55.17,55.99,54.68,54.84,39.07,1222000
2000-02-02,55.83,56.82,55.01,55.17,39.31,1328500
2000-02-03,56.16,57.31,55.5,57.31,40.83,1515800
2000-02-04,57.97,58.47,56.82,57.97,41.3,1387600
2000-02-07,57.81,57.97,56.82,57.15,40.72,883800
2000-02-08,57.15,58.79,55.83,57.31,40.83,1615100
2000-02-09,57.97,58.96,56.32,56.98,40.6,1809900
2000-02-10,56.65,56.65,54.02,54.68,38.96,2832600
2000-02-11,55.01,55.01,53.03,53.36,38.02,1871300
2000-02-14,55.34,58.3,55.01,57.97,41.3,2965900
2000-02-15,58.47,59.12,56.16,58.63,41.77,2332000
2000-02-16,57.31,57.64,56.16,56.49,40.25,1130400
2000-02-17,57.15,57.31,54.84,55.01,39.19,1654300
2000-02-18,55.01,55.67,54.51,55.34,39.42,1303800
2000-02-22,55.17,55.67,54.35,55.17,39.31,1291800
2000-02-23,55.34,55.83,54.18,54.35,38.72,1408000
2000-02-24,54.51,54.51,52.87,53.69,38.25,1697400
2000-02-25,53.36,54.84,52.7,53.03,37.78,2419100
2000-02-28,53.19,54.68,52.87,54.68,38.96,1479400
2000-02-29,53.19,63.24,53.19,57.31,40.83,3189600
2000-03-01,58.47,58.47,54.84,56.82,40.86,1878400
2000-03-02,56.65,56.98,54.68,55.83,40.15,1558100
2000-03-03,56.65,57.81,55.01,55.17,39.67,1521400
2000-03-06,55.34,56.82,55.34,56.65,40.74,1540700
2000-03-07,56.82,57.64,54.02,54.51,39.2,1963200
2000-03-08,54.84,56.16,53.52,55.99,40.26,2370700
2000-03-09,55.99,63.24,54.68,59.29,42.63,7912000
2000-03-10,60.44,64.23,59.95,64.06,46.07,5967200
2000-03-13,61.92,65.88,60.94,64.56,46.42,3283800
2000-03-14,63.9,64.89,60.77,61.26,44.05,3724600
2000-03-15,62.91,68.51,62.09,67.19,48.32,4970500
2000-03-16,69.5,69.99,66.53,67.52,48.55,4214700
2000-03-17,66.53,68.35,66.37,68.02,48.91,2210700
2000-03-20,68.51,70.65,67.85,68.51,49.26,2166200
2000-03-21,69.5,78.39,69.17,78.39,56.37,3458500
2000-03-22,74.44,76.09,71.15,71.15,51.16,3580800
2000-03-23,72.13,72.96,70.49,70.82,50.92,1522900
2000-03-24,71.31,72.96,69.66,70.65,50.8,1540300
2000-03-27,70.82,72.79,70.49,71.02,51.07,933500
2000-03-28,70.98,72.13,70.49,70.49,50.69,1281400
2000-03-29,70.49,71.15,68.02,70.49,50.69,1712300
2000-03-30,69.17,69.99,67.52,69.99,50.33,1432600
2000-03-31,69.83,71.64,68.51,68.51,49.26,1604200
2000-04-03,67.85,68.02,65.88,66.04,47.49,2012500
2000-04-04,67.03,69.83,64.06,66.86,48.08,2461700
2000-04-05,66.86,69.01,66.04,67.19,48.32,1285400
2000-04-06,67.36,73.12,67.36,72.13,51.87,2033200
2000-04-07,73.12,73.95,72.46,73.12,52.58,2184600
2000-04-10,73.78,74.93,70.82,71.48,51.4,1958700
2000-04-11,71.15,71.64,69.83,69.99,50.33,965500
2000-04-12,70.16,71.48,69.66,70.16,50.45,1111200
2000-04-13,69.66,69.83,67.19,67.19,48.32,1206400
2000-04-14,67.03,67.19,63.57,63.57,45.71,2219900
2000-04-17,63.9,65.55,63.08,65.55,47.13,1722800
2000-04-18,65.38,66.37,63.24,63.24,45.48,1165100
2000-04-19,66.21,67.85,65.38,67.85,48.79,1105600
2000-04-20,66.21,66.7,65.22,66.04,47.49,828400
2000-04-24,65.71,66.21,62.25,63.57,45.71,1060600
2000-04-25,67.52,73.29,67.03,70.32,50.57,3135300
2000-04-26,69.66,74.28,69.5,73.78,53.05,1984100
2000-04-27,72.46,73.29,70.82,71.31,51.28,1397300
2000-04-28,73.45,73.45,69.17,69.83,50.21,1162300
2000-05-01,70.98,72.3,70.16,71.31,51.28,1071100
2000-05-02,71.31,71.81,69.83,69.83,50.21,674900
