Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,6.86,7.0,6.85,6.94,4.61,1395400
2000-01-03,6.93,6.93,6.66,6.71,4.46,3033400
2000-01-04,6.65,6.74,6.47,6.57,4.37,3315000
2000-01-05,6.6,6.64,6.57,6.6,4.39,4642600
2000-01-06,6.56,6.62,6.54,6.55,4.35,3947600
2000-01-07,6.55,6.56,6.36,6.4,4.26,6063600
2000-01-10,6.39,6.74,6.38,6.66,4.43,5531100
2000-01-11,6.6,6.74,6.53,6.62,4.4,4224700
2000-01-12,6.65,6.74,6.55,6.55,4.35,9828200
2000-01-13,6.63,6.82,6.6,6.65,4.42,5522800
2000-01-14,6.65,6.66,6.44,6.47,4.3,3188100
2000-01-18,6.38,6.43,6.22,6.28,4.17,7497400
2000-01-19,6.23,6.25,6.0,6.04,4.02,9733600
2000-01-20,6.01,6.01,5.7,5.72,3.8,9039200
2000-01-21,5.72,5.78,5.71,5.73,3.81,7177000
2000-01-24,5.77,5.82,5.58,5.61,3.73,5581200
2000-01-25,5.61,5.61,5.32,5.46,3.63,7281000
2000-01-26,5.46,5.49,5.39,5.4,3.59,4549100
2000-01-27,5.41,5.49,5.39,5.41,3.6,5427600
2000-01-28,5.46,5.46,5.17,5.19,3.45,3942600
2000-01-31,5.26,5.28,5.12,5.14,3.42,2827000
2000-02-01,5.28,5.8,5.28,5.53,3.67,12357000
2000-02-02,5.39,5.47,5.07,5.2,3.46,10261100
2000-02-03,5.27,5.37,5.23,5.34,3.55,4141800
2000-02-04,5.34,5.36,5.27,5.32,3.54,4361000
2000-02-07,5.29,5.39,5.21,5.29,3.52,4228000
2000-02-08,5.29,5.38,5.28,5.37,3.57,4354900
2000-02-09,5.31,5.57,5.22,5.39,3.58,5385900
2000-02-10,5.39,5.52,4.84,4.94,3.29,18960400
2000-02-11,4.88,5.1,4.83,5.02,3.34,7656600
2000-02-14,5.1,5.1,4.94,5.04,3.35,5138900
2000-02-15,5.01,5.13,4.86,5.1,3.39,4789400
2000-02-16,5.08,5.14,4.98,5.02,3.34,1999700
2000-02-17,5.08,5.38,4.99,5.28,3.51,5256300
2000-02-18,5.21,5.21,5.02,5.03,3.34,4312600
2000-02-22,5.07,5.07,4.72,4.85,3.23,4787800
2000-02-23,4.88,4.94,4.82,4.82,3.2,1764300
2000-02-24,4.77,4.77,4.64,4.67,3.11,4273100
2000-02-25,4.67,4.71,4.63,4.65,3.09,3476900
