Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,58.75,59.75,58.38,59.19,45.01,158100
2000-01-03,59.03,59.12,53.44,55.5,42.21,1199600
2000-01-04,54.62,55.0,52.5,52.81,40.16,816100
2000-01-05,52.75,53.25,51.06,52.75,40.12,1124700
2000-01-06,52.75,54.94,52.38,53.5,40.69,1112100
2000-01-07,53.75,54.25,53.31,53.62,40.78,782000
2000-01-10,53.69,53.75,51.5,52.66,40.04,408800
2000-01-11,52.69,53.0,49.88,49.88,37.93,987800
2000-01-12,50.5,50.75,49.0,50.31,38.26,794300
2000-01-13,51.06,55.5,51.0,54.69,41.59,458700
2000-01-14,56.0,56.75,54.94,55.62,42.3,596500
2000-01-18,55.62,56.12,52.75,52.81,40.16,476800
2000-01-19,52.75,54.62,52.62,53.38,40.59,310400
2000-01-20,54.12,54.12,51.94,52.44,39.88,368200
2000-01-21,53.12,53.31,50.28,52.88,40.21,448900
2000-01-24,53.5,54.25,51.38,52.0,39.55,573000
2000-01-25,51.81,53.88,51.38,53.69,40.83,497200
2000-01-26,54.0,54.22,52.56,53.56,40.73,541500
2000-01-27,53.75,58.62,53.62,57.75,44.16,967300
2000-01-28,57.25,57.25,54.88,56.12,42.92,801400
2000-01-31,56.19,59.31,56.12,59.12,45.21,440500
2000-02-01,58.88,60.0,58.56,59.75,45.69,730800
2000-02-02,59.5,59.56,58.56,58.62,44.83,655400
2000-02-03,58.56,59.5,57.12,57.94,44.3,297300
2000-02-04,57.88,58.12,55.0,55.31,42.29,240400
2000-02-07,55.38,55.75,53.88,55.25,42.25,384300
2000-02-08,55.06,58.44,55.0,58.06,44.4,366000
2000-02-09,58.56,58.69,54.0,55.12,42.15,935800
2000-02-10,55.44,56.5,54.75,54.94,42.01,362500
2000-02-11,55.44,56.0,54.5,54.69,41.82,448800
2000-02-14,54.69,55.23,54.06,54.12,41.39,199400
2000-02-15,54.38,55.5,53.56,54.81,41.91,412600
2000-02-16,54.75,54.81,54.25,54.56,41.72,233900
2000-02-17,54.75,55.75,54.06,55.03,42.08,439500
2000-02-18,55.0,55.12,49.62,49.88,38.14,1174700
2000-02-22,50.06,51.19,48.88,51.12,39.09,706100
2000-02-23,51.06,51.25,49.31,50.62,38.71,433000
2000-02-24,50.78,51.56,50.44,50.88,38.9,821900
2000-02-25,50.88,50.88,49.88,50.0,38.23,338300
2000-02-28,49.97,52.66,49.69,51.5,39.38,1029200
2000-02-29,51.75,53.25,51.0,53.06,40.57,415700
2000-03-01,53.0,53.19,50.5,50.69,38.76,786900
2000-03-02,50.69,52.25,50.69,51.44,39.33,423300
2000-03-03,51.25,51.41,32.0,38.81,29.68,14244100
2000-03-06,39.25,42.38,37.12,41.56,31.78,3842200
2000-03-07,41.88,41.88,39.12,39.81,30.44,1162600
2000-03-08,40.56,40.56,36.5,37.44,28.63,1449300
2000-03-09,37.19,37.62,36.38,36.88,28.2,862200
2000-03-10,36.94,39.75,36.06,37.25,28.48,822100
2000-03-13,37.88,38.94,37.62,37.97,29.03,1970600
2000-03-14,38.34,38.62,36.0,36.44,27.86,536200
2000-03-15,36.75,39.5,36.69,38.75,29.63,832300
2000-03-16,39.62,41.88,39.56,41.38,31.64,1168300
2000-03-17,40.5,42.94,40.38,40.94,31.3,1010300
2000-03-20,41.0,41.25,39.31,39.31,30.06,542200
2000-03-21,39.25,42.62,38.62,42.25,32.31,511800
2000-03-22,42.0,44.34,42.0,42.06,32.16,529200
2000-03-23,41.75,44.0,41.5,44.0,33.64,673600
2000-03-24,43.75,44.0,42.0,42.56,32.54,579300
2000-03-27,42.59,42.69,38.81,39.44,30.16,900300
2000-03-28,39.38,41.31,38.88,39.75,30.39,796100
2000-03-29,39.69,40.88,38.88,39.52,30.22,876000
2000-03-30,39.56,41.06,38.31,38.31,29.3,1151400
2000-03-31,38.88,43.0,38.62,41.62,31.83,1414100
2000-04-03,44.11,44.25,38.56,40.0,30.59,3809900
2000-04-04,41.5,43.75,40.75,41.62,31.83,2188000
2000-04-05,41.06,41.69,40.95,41.12,31.45,668100
2000-04-06,41.56,42.81,41.38,42.5,32.5,1571600
2000-04-07,42.5,42.62,40.25,40.62,31.06,848400
2000-04-10,40.62,42.88,40.56,42.38,32.4,1062400
2000-04-11,42.06,46.0,42.0,45.12,34.5,993300
2000-04-12,45.12,49.25,45.0,45.62,34.89,1448900
2000-04-13,46.5,48.25,45.75,47.5,36.32,2637700
2000-04-14,47.38,47.44,45.12,45.19,34.55,1453900
2000-04-17,45.0,45.06,43.56,44.94,34.36,1156300
2000-04-18,45.0,45.12,42.25,43.69,33.41,485300
2000-04-19,43.81,43.81,39.88,40.88,31.25,588900
2000-04-20,41.12,43.25,40.75,43.0,32.88,1204700
2000-04-24,42.69,44.88,41.44,43.5,33.26,373600
2000-04-25,43.69,46.5,43.5,44.62,34.12,235200
2000-04-26,45.0,45.0,42.38,42.94,32.83,309900
2000-04-27,42.38,42.5,40.88,41.44,31.68,308400
2000-04-28,41.88,42.25,40.75,41.5,31.73,224700
2000-05-01,41.44,42.44,41.12,41.75,31.92,325500
2000-05-02,41.88,43.0,41.12,42.94,32.83,605100
2000-05-03,42.88,43.0,40.5,40.69,31.11,336100
2000-05-04,40.88,41.88,39.44,40.62,31.06,533600
2000-05-05,40.44,41.0,40.0,40.75,31.16,331300
2000-05-08,40.44,42.25,40.0,42.0,32.11,664400
2000-05-09,42.19,43.38,41.31,42.0,32.11,553000
2000-05-10,41.5,41.75,39.06,39.94,30.54,312300
2000-05-11,40.19,42.0,40.12,41.25,31.7,654400
2000-05-12,41.06,42.38,40.56,41.88,32.18,347700
2000-05-15,42.12,42.62,41.75,42.38,32.56,415200
2000-05-16,43.0,43.06,41.69,41.94,32.23,252800
2000-05-17,41.69,41.81,40.5,41.31,31.75,255600
